lindex,Sport,Year,Weight,count
12259,Golf,2016,48.0,2
12260,Golf,2016,50.0,1
12261,Golf,2016,52.0,1
12262,Golf,2016,53.0,1
12263,Golf,2016,55.0,2
12264,Golf,2016,56.0,2
12265,Golf,2016,57.0,3
12266,Golf,2016,58.0,3
12267,Golf,2016,59.0,1
12268,Golf,2016,60.0,5
12269,Golf,2016,61.0,2
12270,Golf,2016,62.0,2
12271,Golf,2016,63.0,4
12272,Golf,2016,64.0,3
12273,Golf,2016,65.0,7
12274,Golf,2016,66.0,2
12275,Golf,2016,67.0,3
12276,Golf,2016,68.0,5
12277,Golf,2016,69.0,1
12278,Golf,2016,70.0,9
12279,Golf,2016,72.0,4
12280,Golf,2016,73.0,3
12281,Golf,2016,74.0,2
12282,Golf,2016,75.0,5
12283,Golf,2016,76.0,2
12284,Golf,2016,77.0,3
12285,Golf,2016,78.0,3
12286,Golf,2016,79.0,2
12287,Golf,2016,80.0,1
12288,Golf,2016,81.0,1
12289,Golf,2016,82.0,3
12290,Golf,2016,83.0,3
12291,Golf,2016,84.0,1
12292,Golf,2016,85.0,2
12293,Golf,2016,86.0,3
12294,Golf,2016,88.0,3
12295,Golf,2016,89.0,1
12296,Golf,2016,90.0,1
12297,Golf,2016,91.0,2
12298,Golf,2016,95.0,1
12299,Golf,2016,98.0,1
12300,Golf,2016,100.0,1
12301,Golf,2016,104.0,1
