lindex,Sport,Year,Weight,count
12302,Gymnastics,1896,56.0,1
12303,Gymnastics,1896,62.0,6
12304,Gymnastics,1896,70.0,7
12305,Gymnastics,1896,102.0,1
12306,Gymnastics,1900,61.0,1
12307,Gymnastics,1900,62.0,2
12308,Gymnastics,1900,71.0,1
12309,Gymnastics,1904,59.0,4
12310,Gymnastics,1904,71.0,7
12311,Gymnastics,1904,77.0,4
12312,Gymnastics,1906,59.0,1
12313,Gymnastics,1906,82.0,3
12314,Gymnastics,1908,54.0,1
12315,Gymnastics,1908,65.0,1
12316,Gymnastics,1908,66.0,1
12317,Gymnastics,1908,67.0,1
12318,Gymnastics,1908,75.0,1
12319,Gymnastics,1908,86.0,1
12320,Gymnastics,1912,73.0,1
12321,Gymnastics,1920,58.0,1
12322,Gymnastics,1920,66.0,2
12323,Gymnastics,1920,70.0,1
12324,Gymnastics,1928,58.0,7
12325,Gymnastics,1928,61.0,7
12326,Gymnastics,1928,64.0,7
12327,Gymnastics,1928,65.0,4
12328,Gymnastics,1928,66.0,7
12329,Gymnastics,1928,71.0,7
12330,Gymnastics,1932,58.0,6
12331,Gymnastics,1932,59.0,1
12332,Gymnastics,1932,61.0,3
12333,Gymnastics,1932,64.0,8
12334,Gymnastics,1936,43.0,1
12335,Gymnastics,1936,47.0,1
12336,Gymnastics,1936,52.0,1
12337,Gymnastics,1936,53.0,1
12338,Gymnastics,1936,55.0,1
12339,Gymnastics,1936,57.0,8
12340,Gymnastics,1936,58.0,9
12341,Gymnastics,1936,61.0,8
12342,Gymnastics,1936,62.0,1
12343,Gymnastics,1936,64.0,8
12344,Gymnastics,1936,71.0,8
12345,Gymnastics,1948,57.0,1
12346,Gymnastics,1948,64.0,24
12347,Gymnastics,1948,65.0,8
12348,Gymnastics,1948,67.0,8
12349,Gymnastics,1948,74.0,8
12350,Gymnastics,1952,48.0,7
12351,Gymnastics,1952,50.0,7
12352,Gymnastics,1952,51.0,21
12353,Gymnastics,1952,52.0,28
12354,Gymnastics,1952,52.5,7
12355,Gymnastics,1952,53.0,21
12356,Gymnastics,1952,54.0,15
12357,Gymnastics,1952,55.0,21
12358,Gymnastics,1952,56.0,16
12359,Gymnastics,1952,57.0,29
12360,Gymnastics,1952,58.0,35
12361,Gymnastics,1952,59.0,15
12362,Gymnastics,1952,60.0,7
12363,Gymnastics,1952,61.0,16
12364,Gymnastics,1952,62.0,14
12365,Gymnastics,1952,63.0,5
12366,Gymnastics,1952,64.0,32
12367,Gymnastics,1952,65.0,32
12368,Gymnastics,1952,66.0,8
12369,Gymnastics,1952,67.0,48
12370,Gymnastics,1952,68.0,24
12371,Gymnastics,1952,70.0,16
12372,Gymnastics,1952,75.0,8
12373,Gymnastics,1952,77.0,8
12374,Gymnastics,1952,80.0,8
12375,Gymnastics,1956,48.0,14
12376,Gymnastics,1956,49.0,7
12377,Gymnastics,1956,50.0,7
12378,Gymnastics,1956,51.0,19
12379,Gymnastics,1956,52.0,19
12380,Gymnastics,1956,53.0,15
12381,Gymnastics,1956,54.0,23
12382,Gymnastics,1956,55.0,21
12383,Gymnastics,1956,56.0,43
12384,Gymnastics,1956,57.0,21
12385,Gymnastics,1956,58.0,27
12386,Gymnastics,1956,59.0,22
12387,Gymnastics,1956,60.0,5
12388,Gymnastics,1956,61.0,14
12389,Gymnastics,1956,63.0,8
12390,Gymnastics,1956,63.5,8
12391,Gymnastics,1956,64.0,16
12392,Gymnastics,1956,65.0,30
12393,Gymnastics,1956,67.0,36
12394,Gymnastics,1956,67.5,8
12395,Gymnastics,1956,70.0,31
12396,Gymnastics,1956,71.0,8
12397,Gymnastics,1956,72.0,16
12398,Gymnastics,1956,73.0,8
12399,Gymnastics,1956,77.0,8
12400,Gymnastics,1960,41.0,10
12401,Gymnastics,1960,43.0,5
12402,Gymnastics,1960,45.0,6
12403,Gymnastics,1960,46.0,12
12404,Gymnastics,1960,47.0,24
12405,Gymnastics,1960,48.0,17
12406,Gymnastics,1960,49.0,24
12407,Gymnastics,1960,50.0,53
12408,Gymnastics,1960,51.0,51
12409,Gymnastics,1960,52.0,84
12410,Gymnastics,1960,52.5,6
12411,Gymnastics,1960,53.0,58
12412,Gymnastics,1960,54.0,72
12413,Gymnastics,1960,55.0,53
12414,Gymnastics,1960,56.0,92
12415,Gymnastics,1960,57.0,30
12416,Gymnastics,1960,58.0,87
12417,Gymnastics,1960,59.0,53
12418,Gymnastics,1960,60.0,58
12419,Gymnastics,1960,61.0,54
12420,Gymnastics,1960,62.0,44
12421,Gymnastics,1960,63.0,57
12422,Gymnastics,1960,63.5,8
12423,Gymnastics,1960,64.0,63
12424,Gymnastics,1960,65.0,104
12425,Gymnastics,1960,66.0,33
12426,Gymnastics,1960,67.0,88
12427,Gymnastics,1960,67.5,16
12428,Gymnastics,1960,68.0,70
12429,Gymnastics,1960,69.0,32
12430,Gymnastics,1960,70.0,95
12431,Gymnastics,1960,71.0,24
12432,Gymnastics,1960,72.0,24
12433,Gymnastics,1960,73.0,15
12434,Gymnastics,1960,75.0,16
12435,Gymnastics,1960,77.0,8
12436,Gymnastics,1960,80.0,8
12437,Gymnastics,1964,38.0,5
12438,Gymnastics,1964,44.0,5
12439,Gymnastics,1964,46.0,12
12440,Gymnastics,1964,47.0,34
12441,Gymnastics,1964,48.0,23
12442,Gymnastics,1964,49.0,32
12443,Gymnastics,1964,50.0,59
12444,Gymnastics,1964,51.0,29
12445,Gymnastics,1964,52.0,59
12446,Gymnastics,1964,53.0,29
12447,Gymnastics,1964,54.0,44
12448,Gymnastics,1964,55.0,37
12449,Gymnastics,1964,56.0,77
12450,Gymnastics,1964,57.0,19
12451,Gymnastics,1964,58.0,83
12452,Gymnastics,1964,59.0,51
12453,Gymnastics,1964,60.0,87
12454,Gymnastics,1964,61.0,48
12455,Gymnastics,1964,62.0,70
12456,Gymnastics,1964,63.0,40
12457,Gymnastics,1964,63.5,8
12458,Gymnastics,1964,64.0,103
12459,Gymnastics,1964,65.0,55
12460,Gymnastics,1964,66.0,64
12461,Gymnastics,1964,67.0,112
12462,Gymnastics,1964,67.5,8
12463,Gymnastics,1964,68.0,71
12464,Gymnastics,1964,69.0,16
12465,Gymnastics,1964,69.5,8
12466,Gymnastics,1964,70.0,55
12467,Gymnastics,1964,71.0,16
12468,Gymnastics,1964,72.0,8
12469,Gymnastics,1964,73.0,24
12470,Gymnastics,1964,74.0,7
12471,Gymnastics,1964,75.0,23
12472,Gymnastics,1964,78.0,8
12473,Gymnastics,1968,40.0,11
12474,Gymnastics,1968,41.0,12
12475,Gymnastics,1968,42.0,6
12476,Gymnastics,1968,43.0,6
12477,Gymnastics,1968,45.0,29
12478,Gymnastics,1968,46.0,29
12479,Gymnastics,1968,47.0,23
12480,Gymnastics,1968,48.0,28
12481,Gymnastics,1968,49.0,47
12482,Gymnastics,1968,50.0,67
12483,Gymnastics,1968,51.0,28
12484,Gymnastics,1968,52.0,52
12485,Gymnastics,1968,53.0,28
12486,Gymnastics,1968,54.0,62
12487,Gymnastics,1968,55.0,63
12488,Gymnastics,1968,56.0,69
12489,Gymnastics,1968,57.0,57
12490,Gymnastics,1968,58.0,44
12491,Gymnastics,1968,59.0,57
12492,Gymnastics,1968,60.0,67
12493,Gymnastics,1968,61.0,80
12494,Gymnastics,1968,62.0,51
12495,Gymnastics,1968,63.0,70
12496,Gymnastics,1968,63.5,8
12497,Gymnastics,1968,64.0,118
12498,Gymnastics,1968,65.0,56
12499,Gymnastics,1968,65.5,8
12500,Gymnastics,1968,66.0,39
12501,Gymnastics,1968,67.0,84
12502,Gymnastics,1968,68.0,56
12503,Gymnastics,1968,69.0,38
12504,Gymnastics,1968,69.5,8
12505,Gymnastics,1968,70.0,40
12506,Gymnastics,1968,71.0,8
12507,Gymnastics,1968,72.0,16
12508,Gymnastics,1968,73.0,16
12509,Gymnastics,1968,75.0,8
12510,Gymnastics,1968,85.0,7
12511,Gymnastics,1972,39.0,12
12512,Gymnastics,1972,40.0,6
12513,Gymnastics,1972,41.0,6
12514,Gymnastics,1972,42.0,12
12515,Gymnastics,1972,43.0,24
12516,Gymnastics,1972,44.0,17
12517,Gymnastics,1972,45.0,18
12518,Gymnastics,1972,46.0,42
12519,Gymnastics,1972,47.0,42
12520,Gymnastics,1972,48.0,72
12521,Gymnastics,1972,49.0,54
12522,Gymnastics,1972,50.0,77
12523,Gymnastics,1972,51.0,36
12524,Gymnastics,1972,52.0,78
12525,Gymnastics,1972,53.0,38
12526,Gymnastics,1972,54.0,58
12527,Gymnastics,1972,55.0,70
