lindex,Sport,Year,Weight,count
15106,Judo,1964,52.0,1
15107,Judo,1964,62.0,1
15108,Judo,1964,64.0,2
15109,Judo,1964,65.0,1
15110,Judo,1964,66.0,2
15111,Judo,1964,67.0,3
15112,Judo,1964,68.0,7
15113,Judo,1964,69.0,2
15114,Judo,1964,70.0,3
15115,Judo,1964,72.0,1
15116,Judo,1964,73.0,3
15117,Judo,1964,75.0,3
15118,Judo,1964,77.0,2
15119,Judo,1964,78.0,4
15120,Judo,1964,79.0,1
15121,Judo,1964,80.0,11
15122,Judo,1964,84.0,1
15123,Judo,1964,85.0,2
15124,Judo,1964,86.0,2
15125,Judo,1964,88.0,2
15126,Judo,1964,90.0,2
15127,Judo,1964,93.0,1
15128,Judo,1964,100.0,2
15129,Judo,1964,101.0,1
15130,Judo,1964,102.0,1
15131,Judo,1964,104.0,2
15132,Judo,1964,105.0,2
15133,Judo,1964,108.0,1
15134,Judo,1964,110.0,1
15135,Judo,1964,111.0,1
15136,Judo,1964,120.0,1
15137,Judo,1972,59.0,2
15138,Judo,1972,60.0,1
15139,Judo,1972,61.0,1
15140,Judo,1972,62.0,2
15141,Judo,1972,63.0,19
15142,Judo,1972,65.0,1
15143,Judo,1972,68.0,2
15144,Judo,1972,69.0,7
15145,Judo,1972,70.0,18
15146,Judo,1972,72.0,1
15147,Judo,1972,73.0,2
15148,Judo,1972,74.0,3
15149,Judo,1972,75.0,3
15150,Judo,1972,77.0,1
15151,Judo,1972,78.0,3
15152,Judo,1972,79.0,4
15153,Judo,1972,80.0,20
15154,Judo,1972,82.0,1
15155,Judo,1972,83.0,3
15156,Judo,1972,84.0,1
15157,Judo,1972,85.0,2
15158,Judo,1972,86.0,3
15159,Judo,1972,87.0,1
15160,Judo,1972,89.0,2
15161,Judo,1972,90.0,3
15162,Judo,1972,91.0,3
15163,Judo,1972,92.0,7
15164,Judo,1972,93.0,9
15165,Judo,1972,94.0,3
15166,Judo,1972,95.0,1
15167,Judo,1972,100.0,1
15168,Judo,1972,101.0,4
15169,Judo,1972,103.0,2
15170,Judo,1972,105.0,1
15171,Judo,1972,108.0,2
15172,Judo,1972,109.0,1
15173,Judo,1972,110.0,5
15174,Judo,1972,111.0,2
15175,Judo,1972,112.0,2
15176,Judo,1972,114.0,1
15177,Judo,1972,115.0,4
15178,Judo,1972,118.0,2
15179,Judo,1972,120.0,2
15180,Judo,1972,121.0,1
15181,Judo,1976,60.0,1
15182,Judo,1976,62.0,4
15183,Judo,1976,63.0,16
15184,Judo,1976,64.0,1
15185,Judo,1976,65.0,4
15186,Judo,1976,66.0,1
15187,Judo,1976,68.0,4
15188,Judo,1976,69.0,3
15189,Judo,1976,70.0,17
15190,Judo,1976,73.0,1
15191,Judo,1976,77.0,3
15192,Judo,1976,78.0,3
15193,Judo,1976,79.0,3
15194,Judo,1976,80.0,17
15195,Judo,1976,82.0,1
15196,Judo,1976,85.0,2
15197,Judo,1976,86.0,1
15198,Judo,1976,88.0,1
15199,Judo,1976,89.0,4
15200,Judo,1976,90.0,2
15201,Judo,1976,91.0,1
15202,Judo,1976,92.0,5
15203,Judo,1976,93.0,22
15204,Judo,1976,95.0,6
15205,Judo,1976,96.0,1
15206,Judo,1976,96.5,2
15207,Judo,1976,98.0,1
15208,Judo,1976,99.0,1
15209,Judo,1976,100.0,4
15210,Judo,1976,103.0,1
15211,Judo,1976,104.0,1
15212,Judo,1976,105.0,2
15213,Judo,1976,110.0,4
15214,Judo,1976,114.0,3
15215,Judo,1976,118.0,1
15216,Judo,1976,120.0,2
15217,Judo,1976,154.0,1
15218,Judo,1976,163.0,2
15219,Judo,1980,57.0,2
15220,Judo,1980,59.0,2
15221,Judo,1980,60.0,18
15222,Judo,1980,61.0,1
15223,Judo,1980,63.0,2
15224,Judo,1980,64.0,4
15225,Judo,1980,65.0,24
15226,Judo,1980,66.0,1
15227,Judo,1980,68.0,3
15228,Judo,1980,69.0,1
15229,Judo,1980,70.0,4
15230,Judo,1980,71.0,22
15231,Judo,1980,74.0,2
15232,Judo,1980,75.0,1
15233,Judo,1980,76.0,1
15234,Judo,1980,77.0,1
15235,Judo,1980,78.0,18
15236,Judo,1980,80.0,5
15237,Judo,1980,84.0,2
15238,Judo,1980,85.0,1
15239,Judo,1980,86.0,17
15240,Judo,1980,87.0,1
15241,Judo,1980,88.0,1
15242,Judo,1980,89.0,3
15243,Judo,1980,90.0,3
15244,Judo,1980,93.0,6
15245,Judo,1980,94.0,2
15246,Judo,1980,95.0,14
15247,Judo,1980,98.0,4
15248,Judo,1980,99.0,2
15249,Judo,1980,100.0,2
15250,Judo,1980,102.0,1
15251,Judo,1980,105.0,1
15252,Judo,1980,110.0,3
15253,Judo,1980,111.0,1
15254,Judo,1980,112.0,1
15255,Judo,1980,113.0,1
15256,Judo,1980,115.0,2
15257,Judo,1980,120.0,1
15258,Judo,1980,123.0,2
15259,Judo,1980,125.0,1
15260,Judo,1980,130.0,2
15261,Judo,1980,135.0,4
15262,Judo,1980,140.0,1
15263,Judo,1980,144.0,1
15264,Judo,1984,57.0,2
15265,Judo,1984,58.0,2
15266,Judo,1984,59.0,1
15267,Judo,1984,60.0,23
15268,Judo,1984,61.0,1
15269,Judo,1984,63.0,1
15270,Judo,1984,64.0,2
15271,Judo,1984,65.0,21
15272,Judo,1984,66.0,2
15273,Judo,1984,69.0,1
15274,Judo,1984,70.0,4
15275,Judo,1984,71.0,26
15276,Judo,1984,72.0,1
15277,Judo,1984,73.0,1
15278,Judo,1984,75.0,1
15279,Judo,1984,76.5,1
15280,Judo,1984,77.0,6
15281,Judo,1984,78.0,28
15282,Judo,1984,80.0,1
15283,Judo,1984,82.0,1
15284,Judo,1984,85.0,1
15285,Judo,1984,86.0,22
15286,Judo,1984,87.0,2
15287,Judo,1984,90.0,3
15288,Judo,1984,91.0,1
15289,Judo,1984,93.0,2
15290,Judo,1984,95.0,20
15291,Judo,1984,96.0,1
15292,Judo,1984,98.0,2
15293,Judo,1984,100.0,1
15294,Judo,1984,102.0,1
15295,Judo,1984,104.0,1
15296,Judo,1984,105.0,1
15297,Judo,1984,107.0,3
15298,Judo,1984,110.0,3
15299,Judo,1984,111.0,1
15300,Judo,1984,112.5,1
15301,Judo,1984,114.0,1
15302,Judo,1984,115.0,1
15303,Judo,1984,116.0,3
15304,Judo,1984,119.0,1
15305,Judo,1984,127.0,1
15306,Judo,1984,130.0,2
15307,Judo,1984,132.0,2
15308,Judo,1984,134.0,1
15309,Judo,1984,140.0,2
15310,Judo,1984,143.0,1
15311,Judo,1988,58.0,3
15312,Judo,1988,59.0,1
15313,Judo,1988,60.0,22
15314,Judo,1988,62.0,2
15315,Judo,1988,63.0,3
15316,Judo,1988,64.0,1
15317,Judo,1988,65.0,24
15318,Judo,1988,66.0,3
15319,Judo,1988,68.0,6
15320,Judo,1988,69.0,4
15321,Judo,1988,70.0,4
15322,Judo,1988,71.0,26
15323,Judo,1988,72.0,1
15324,Judo,1988,73.0,3
15325,Judo,1988,75.0,1
15326,Judo,1988,77.0,4
15327,Judo,1988,78.0,23
15328,Judo,1988,80.0,6
15329,Judo,1988,81.0,4
15330,Judo,1988,84.0,2
15331,Judo,1988,85.0,3
15332,Judo,1988,86.0,23
15333,Judo,1988,87.0,3
15334,Judo,1988,88.0,1
15335,Judo,1988,89.0,2
15336,Judo,1988,90.0,1
15337,Judo,1988,93.0,1
15338,Judo,1988,95.0,16
15339,Judo,1988,96.0,2
15340,Judo,1988,98.0,4
15341,Judo,1988,102.0,1
15342,Judo,1988,105.0,1
15343,Judo,1988,106.0,1
15344,Judo,1988,108.0,1
15345,Judo,1988,109.0,1
15346,Judo,1988,110.0,1
15347,Judo,1988,112.5,1
15348,Judo,1988,115.0,1
15349,Judo,1988,116.0,1
15350,Judo,1988,120.0,4
15351,Judo,1988,125.0,2
15352,Judo,1988,130.0,1
15353,Judo,1988,132.0,2
15354,Judo,1988,134.0,1
15355,Judo,1988,135.0,1
15356,Judo,1988,140.0,1
15357,Judo,1988,143.0,1
15358,Judo,1992,48.0,8
15359,Judo,1992,50.0,3
15360,Judo,1992,51.0,1
15361,Judo,1992,52.0,12
15362,Judo,1992,53.0,1
15363,Judo,1992,54.0,1
15364,Judo,1992,55.0,1
15365,Judo,1992,56.0,12
15366,Judo,1992,57.0,6
15367,Judo,1992,58.0,2
15368,Judo,1992,59.0,1
15369,Judo,1992,60.0,12
15370,Judo,1992,61.0,7
15371,Judo,1992,62.0,7
15372,Judo,1992,63.0,6
15373,Judo,1992,64.0,3
15374,Judo,1992,65.0,7
15375,Judo,1992,66.0,11
15376,Judo,1992,67.0,1
15377,Judo,1992,68.0,7
15378,Judo,1992,69.0,6
15379,Judo,1992,70.0,4
15380,Judo,1992,71.0,12
15381,Judo,1992,72.0,7
15382,Judo,1992,72.5,1
15383,Judo,1992,73.0,2
15384,Judo,1992,74.0,3
15385,Judo,1992,75.0,3
15386,Judo,1992,76.0,3
15387,Judo,1992,77.0,6
15388,Judo,1992,78.0,14
15389,Judo,1992,79.0,1
15390,Judo,1992,80.0,4
15391,Judo,1992,81.0,3
15392,Judo,1992,82.0,1
15393,Judo,1992,83.5,1
15394,Judo,1992,84.0,5
15395,Judo,1992,85.0,2
15396,Judo,1992,86.0,7
15397,Judo,1992,88.0,4
15398,Judo,1992,89.0,1
15399,Judo,1992,90.0,3
15400,Judo,1992,91.0,1
15401,Judo,1992,95.0,12
15402,Judo,1992,98.0,3
15403,Judo,1992,100.0,2
15404,Judo,1992,101.0,1
15405,Judo,1992,102.0,1
15406,Judo,1992,104.0,1
15407,Judo,1992,105.0,1
15408,Judo,1992,108.0,1
15409,Judo,1992,112.0,1
15410,Judo,1992,112.5,1
15411,Judo,1992,118.0,1
15412,Judo,1992,119.0,1
15413,Judo,1992,120.0,7
15414,Judo,1992,125.0,5
15415,Judo,1992,130.0,4
15416,Judo,1992,132.0,1
15417,Judo,1992,134.0,1
15418,Judo,1992,135.0,1
15419,Judo,1992,145.0,1
15420,Judo,1996,47.0,1
15421,Judo,1996,48.0,11
15422,Judo,1996,50.0,2
15423,Judo,1996,51.0,1
15424,Judo,1996,52.0,15
15425,Judo,1996,53.0,2
15426,Judo,1996,54.0,1
15427,Judo,1996,55.0,2
15428,Judo,1996,56.0,7
15429,Judo,1996,57.0,11
15430,Judo,1996,59.0,1
15431,Judo,1996,60.0,15
15432,Judo,1996,61.0,6
15433,Judo,1996,62.0,4
15434,Judo,1996,63.0,13
15435,Judo,1996,64.0,1
15436,Judo,1996,65.0,9
15437,Judo,1996,66.0,18
15438,Judo,1996,67.0,2
15439,Judo,1996,68.0,5
15440,Judo,1996,69.0,4
15441,Judo,1996,70.0,6
15442,Judo,1996,71.0,7
15443,Judo,1996,72.0,7
15444,Judo,1996,73.0,10
15445,Judo,1996,74.0,3
15446,Judo,1996,75.0,2
15447,Judo,1996,76.0,1
15448,Judo,1996,77.0,2
15449,Judo,1996,78.0,15
15450,Judo,1996,79.0,1
15451,Judo,1996,80.0,4
15452,Judo,1996,81.0,8
15453,Judo,1996,82.0,1
15454,Judo,1996,84.0,2
15455,Judo,1996,85.0,3
15456,Judo,1996,86.0,4
15457,Judo,1996,87.0,1
15458,Judo,1996,88.0,2
15459,Judo,1996,90.0,12
15460,Judo,1996,95.0,8
15461,Judo,1996,96.0,1
15462,Judo,1996,97.0,1
15463,Judo,1996,98.0,2
15464,Judo,1996,100.0,14
15465,Judo,1996,101.0,1
