lindex,Sport,Year,Weight,count
15825,Luge,1964,48.0,1
15826,Luge,1964,52.0,1
15827,Luge,1964,53.0,1
15828,Luge,1964,56.0,3
15829,Luge,1964,58.0,2
15830,Luge,1964,59.0,1
15831,Luge,1964,60.0,3
15832,Luge,1964,61.0,1
15833,Luge,1964,62.0,1
15834,Luge,1964,64.0,2
15835,Luge,1964,68.0,2
15836,Luge,1964,69.0,1
15837,Luge,1964,70.0,5
15838,Luge,1964,71.0,1
15839,Luge,1964,72.0,5
15840,Luge,1964,73.0,2
15841,Luge,1964,74.0,3
15842,Luge,1964,75.0,8
15843,Luge,1964,76.0,3
15844,Luge,1964,77.0,2
15845,Luge,1964,78.0,2
15846,Luge,1964,79.0,3
15847,Luge,1964,80.0,1
15848,Luge,1964,81.0,2
15849,Luge,1964,82.0,6
15850,Luge,1964,83.0,1
15851,Luge,1964,84.0,5
15852,Luge,1964,87.0,1
15853,Luge,1964,89.0,2
15854,Luge,1964,90.0,2
15855,Luge,1964,95.0,1
15856,Luge,1968,48.0,1
15857,Luge,1968,53.0,1
15858,Luge,1968,55.0,2
15859,Luge,1968,56.0,1
15860,Luge,1968,57.0,1
15861,Luge,1968,58.0,3
15862,Luge,1968,60.0,4
15863,Luge,1968,61.0,2
15864,Luge,1968,63.0,2
15865,Luge,1968,64.0,2
15866,Luge,1968,65.0,4
15867,Luge,1968,66.0,2
15868,Luge,1968,67.0,1
15869,Luge,1968,68.0,4
15870,Luge,1968,69.0,3
15871,Luge,1968,70.0,10
15872,Luge,1968,72.0,4
15873,Luge,1968,73.0,5
15874,Luge,1968,74.0,5
15875,Luge,1968,75.0,3
15876,Luge,1968,76.0,5
15877,Luge,1968,77.0,2
15878,Luge,1968,78.0,3
15879,Luge,1968,80.0,4
15880,Luge,1968,81.0,1
15881,Luge,1968,82.0,8
15882,Luge,1968,83.0,6
15883,Luge,1968,84.0,3
15884,Luge,1968,87.0,2
15885,Luge,1968,89.0,2
15886,Luge,1968,90.0,3
15887,Luge,1968,95.0,1
15888,Luge,1968,101.0,1
15889,Luge,1972,59.0,1
15890,Luge,1972,60.0,5
15891,Luge,1972,61.0,2
15892,Luge,1972,62.0,1
15893,Luge,1972,64.0,1
15894,Luge,1972,65.0,7
15895,Luge,1972,66.0,3
15896,Luge,1972,67.0,2
15897,Luge,1972,68.0,6
15898,Luge,1972,69.0,2
15899,Luge,1972,70.0,11
15900,Luge,1972,72.0,1
15901,Luge,1972,73.0,5
15902,Luge,1972,74.0,3
15903,Luge,1972,75.0,8
15904,Luge,1972,76.0,4
15905,Luge,1972,77.0,2
15906,Luge,1972,78.0,3
15907,Luge,1972,79.0,3
15908,Luge,1972,80.0,6
15909,Luge,1972,82.0,7
15910,Luge,1972,83.0,6
15911,Luge,1972,84.0,3
15912,Luge,1972,85.0,1
15913,Luge,1972,86.0,4
15914,Luge,1972,87.0,2
15915,Luge,1972,90.0,4
15916,Luge,1972,92.0,2
15917,Luge,1972,95.0,1
15918,Luge,1976,51.0,1
15919,Luge,1976,59.0,1
15920,Luge,1976,60.0,2
15921,Luge,1976,62.0,2
15922,Luge,1976,63.0,1
15923,Luge,1976,64.0,1
15924,Luge,1976,65.0,4
15925,Luge,1976,66.0,2
15926,Luge,1976,67.0,1
15927,Luge,1976,68.0,4
15928,Luge,1976,69.0,5
15929,Luge,1976,70.0,8
15930,Luge,1976,71.0,1
15931,Luge,1976,72.0,3
15932,Luge,1976,73.0,6
15933,Luge,1976,74.0,4
15934,Luge,1976,75.0,6
15935,Luge,1976,76.0,3
15936,Luge,1976,78.0,4
15937,Luge,1976,79.0,3
15938,Luge,1976,80.0,4
15939,Luge,1976,82.0,4
15940,Luge,1976,83.0,3
15941,Luge,1976,84.0,3
15942,Luge,1976,86.0,8
15943,Luge,1976,87.0,4
15944,Luge,1976,88.0,4
15945,Luge,1976,89.0,4
15946,Luge,1976,90.0,2
15947,Luge,1976,92.0,2
15948,Luge,1976,97.0,1
15949,Luge,1980,48.0,1
15950,Luge,1980,53.0,1
15951,Luge,1980,57.0,1
15952,Luge,1980,59.0,1
15953,Luge,1980,61.0,2
15954,Luge,1980,62.0,1
15955,Luge,1980,63.0,1
15956,Luge,1980,64.0,2
15957,Luge,1980,65.0,1
15958,Luge,1980,66.0,1
15959,Luge,1980,67.0,2
15960,Luge,1980,68.0,4
15961,Luge,1980,69.0,5
15962,Luge,1980,70.0,2
15963,Luge,1980,73.0,7
15964,Luge,1980,75.0,3
15965,Luge,1980,76.0,1
15966,Luge,1980,77.0,2
15967,Luge,1980,78.0,2
15968,Luge,1980,79.0,5
15969,Luge,1980,80.0,4
15970,Luge,1980,81.0,1
15971,Luge,1980,82.0,5
15972,Luge,1980,83.0,3
15973,Luge,1980,84.0,6
15974,Luge,1980,86.0,4
15975,Luge,1980,89.0,3
15976,Luge,1980,90.0,1
15977,Luge,1980,91.0,1
15978,Luge,1980,92.0,2
15979,Luge,1980,104.0,1
15980,Luge,1984,54.0,1
15981,Luge,1984,56.0,1
15982,Luge,1984,57.0,1
15983,Luge,1984,59.0,2
15984,Luge,1984,60.0,3
15985,Luge,1984,61.0,1
15986,Luge,1984,62.0,2
15987,Luge,1984,63.0,1
15988,Luge,1984,64.0,2
15989,Luge,1984,65.0,3
15990,Luge,1984,66.0,3
15991,Luge,1984,67.0,3
15992,Luge,1984,68.0,3
15993,Luge,1984,69.0,3
15994,Luge,1984,71.0,1
15995,Luge,1984,72.0,1
15996,Luge,1984,73.0,2
15997,Luge,1984,74.0,4
15998,Luge,1984,75.0,6
15999,Luge,1984,76.0,2
16000,Luge,1984,77.0,5
16001,Luge,1984,78.0,3
16002,Luge,1984,79.0,6
16003,Luge,1984,80.0,3
16004,Luge,1984,81.0,1
16005,Luge,1984,82.0,2
16006,Luge,1984,83.0,1
16007,Luge,1984,84.0,3
16008,Luge,1984,85.0,1
16009,Luge,1984,86.0,2
16010,Luge,1984,87.0,1
