lindex,Sport,Year,Weight,count
16673,Nordic Combined,1924,61.0,1
16674,Nordic Combined,1924,70.0,1
16675,Nordic Combined,1924,71.0,1
16676,Nordic Combined,1924,72.0,1
16677,Nordic Combined,1928,72.0,1
16678,Nordic Combined,1932,56.0,2
16679,Nordic Combined,1932,65.0,1
16680,Nordic Combined,1932,76.0,1
16681,Nordic Combined,1936,65.0,1
16682,Nordic Combined,1936,69.0,1
16683,Nordic Combined,1936,76.0,1
16684,Nordic Combined,1936,77.0,1
16685,Nordic Combined,1948,64.0,1
16686,Nordic Combined,1948,68.0,1
16687,Nordic Combined,1948,73.0,1
16688,Nordic Combined,1948,75.0,1
16689,Nordic Combined,1952,64.0,1
16690,Nordic Combined,1952,65.0,1
16691,Nordic Combined,1952,68.0,1
16692,Nordic Combined,1952,70.0,1
16693,Nordic Combined,1952,78.0,1
16694,Nordic Combined,1956,62.0,1
16695,Nordic Combined,1956,65.0,2
16696,Nordic Combined,1956,66.0,1
16697,Nordic Combined,1956,67.0,1
16698,Nordic Combined,1956,70.0,1
16699,Nordic Combined,1956,73.0,1
16700,Nordic Combined,1956,75.0,1
16701,Nordic Combined,1956,78.0,1
16702,Nordic Combined,1960,57.0,1
16703,Nordic Combined,1960,60.0,1
16704,Nordic Combined,1960,61.0,1
16705,Nordic Combined,1960,62.0,1
16706,Nordic Combined,1960,67.0,1
16707,Nordic Combined,1960,68.0,1
16708,Nordic Combined,1960,70.0,1
16709,Nordic Combined,1960,72.0,1
16710,Nordic Combined,1960,73.0,1
16711,Nordic Combined,1960,75.0,1
16712,Nordic Combined,1960,78.0,2
16713,Nordic Combined,1960,80.0,1
16714,Nordic Combined,1964,55.0,1
16715,Nordic Combined,1964,61.0,1
16716,Nordic Combined,1964,63.0,2
16717,Nordic Combined,1964,64.0,1
16718,Nordic Combined,1964,67.0,3
16719,Nordic Combined,1964,68.0,2
16720,Nordic Combined,1964,69.0,1
16721,Nordic Combined,1964,71.0,1
16722,Nordic Combined,1964,71.5,1
16723,Nordic Combined,1964,72.0,4
16724,Nordic Combined,1964,73.0,1
16725,Nordic Combined,1964,74.0,1
16726,Nordic Combined,1964,75.0,3
16727,Nordic Combined,1964,83.0,1
16728,Nordic Combined,1968,60.0,3
16729,Nordic Combined,1968,61.0,2
16730,Nordic Combined,1968,62.0,2
16731,Nordic Combined,1968,63.0,2
16732,Nordic Combined,1968,64.0,1
16733,Nordic Combined,1968,65.0,1
16734,Nordic Combined,1968,66.0,1
16735,Nordic Combined,1968,67.0,5
16736,Nordic Combined,1968,68.0,3
16737,Nordic Combined,1968,70.0,2
16738,Nordic Combined,1968,71.5,1
16739,Nordic Combined,1968,72.0,4
16740,Nordic Combined,1968,74.0,1
16741,Nordic Combined,1968,75.0,5
16742,Nordic Combined,1968,78.0,1
16743,Nordic Combined,1968,80.0,1
16744,Nordic Combined,1968,81.0,1
16745,Nordic Combined,1968,82.0,1
16746,Nordic Combined,1968,83.0,1
16747,Nordic Combined,1968,86.0,1
16748,Nordic Combined,1972,53.0,1
16749,Nordic Combined,1972,62.0,1
16750,Nordic Combined,1972,63.0,3
16751,Nordic Combined,1972,64.0,1
16752,Nordic Combined,1972,65.0,3
16753,Nordic Combined,1972,66.0,2
16754,Nordic Combined,1972,67.0,2
16755,Nordic Combined,1972,68.0,4
16756,Nordic Combined,1972,69.0,1
16757,Nordic Combined,1972,72.0,5
16758,Nordic Combined,1972,73.0,2
16759,Nordic Combined,1972,73.5,1
16760,Nordic Combined,1972,74.0,3
16761,Nordic Combined,1972,75.0,5
16762,Nordic Combined,1972,77.0,1
16763,Nordic Combined,1972,78.0,1
16764,Nordic Combined,1972,79.0,1
16765,Nordic Combined,1972,81.0,1
16766,Nordic Combined,1972,82.0,1
16767,Nordic Combined,1972,86.0,1
16768,Nordic Combined,1976,62.5,1
16769,Nordic Combined,1976,63.0,1
16770,Nordic Combined,1976,66.0,2
16771,Nordic Combined,1976,67.0,4
16772,Nordic Combined,1976,68.0,3
16773,Nordic Combined,1976,69.0,1
