lindex,Sport,Year,Weight,count
16976,Rhythmic Gymnastics,1984,37.0,1
16977,Rhythmic Gymnastics,1984,40.0,1
16978,Rhythmic Gymnastics,1984,41.0,1
16979,Rhythmic Gymnastics,1984,43.0,5
16980,Rhythmic Gymnastics,1984,44.0,2
16981,Rhythmic Gymnastics,1984,46.0,3
16982,Rhythmic Gymnastics,1984,47.0,1
16983,Rhythmic Gymnastics,1984,48.0,2
16984,Rhythmic Gymnastics,1984,49.0,2
16985,Rhythmic Gymnastics,1984,50.0,2
16986,Rhythmic Gymnastics,1984,51.0,4
16987,Rhythmic Gymnastics,1984,52.0,1
16988,Rhythmic Gymnastics,1984,54.0,1
16989,Rhythmic Gymnastics,1984,55.0,3
16990,Rhythmic Gymnastics,1984,56.0,2
16991,Rhythmic Gymnastics,1984,57.0,2
16992,Rhythmic Gymnastics,1988,33.0,1
16993,Rhythmic Gymnastics,1988,40.0,1
16994,Rhythmic Gymnastics,1988,41.0,3
16995,Rhythmic Gymnastics,1988,42.0,2
16996,Rhythmic Gymnastics,1988,43.0,1
16997,Rhythmic Gymnastics,1988,44.0,4
16998,Rhythmic Gymnastics,1988,45.0,3
16999,Rhythmic Gymnastics,1988,46.0,6
17000,Rhythmic Gymnastics,1988,47.0,2
17001,Rhythmic Gymnastics,1988,48.0,6
17002,Rhythmic Gymnastics,1988,49.0,2
17003,Rhythmic Gymnastics,1988,50.0,3
17004,Rhythmic Gymnastics,1988,51.0,1
17005,Rhythmic Gymnastics,1988,54.0,1
17006,Rhythmic Gymnastics,1988,56.0,2
17007,Rhythmic Gymnastics,1988,60.0,1
17008,Rhythmic Gymnastics,1992,30.0,1
17009,Rhythmic Gymnastics,1992,37.0,1
17010,Rhythmic Gymnastics,1992,40.0,3
17011,Rhythmic Gymnastics,1992,42.0,2
17012,Rhythmic Gymnastics,1992,46.0,5
17013,Rhythmic Gymnastics,1992,47.0,4
17014,Rhythmic Gymnastics,1992,48.0,3
17015,Rhythmic Gymnastics,1992,49.0,3
17016,Rhythmic Gymnastics,1992,50.0,1
17017,Rhythmic Gymnastics,1992,55.0,1
17018,Rhythmic Gymnastics,1992,56.0,1
17019,Rhythmic Gymnastics,1992,60.0,1
17020,Rhythmic Gymnastics,1996,36.0,2
17021,Rhythmic Gymnastics,1996,37.0,1
17022,Rhythmic Gymnastics,1996,38.0,5
17023,Rhythmic Gymnastics,1996,39.0,2
17024,Rhythmic Gymnastics,1996,40.0,3
17025,Rhythmic Gymnastics,1996,41.0,2
17026,Rhythmic Gymnastics,1996,42.0,8
17027,Rhythmic Gymnastics,1996,43.0,5
17028,Rhythmic Gymnastics,1996,44.0,7
17029,Rhythmic Gymnastics,1996,45.0,4
17030,Rhythmic Gymnastics,1996,46.0,5
17031,Rhythmic Gymnastics,1996,47.0,15
17032,Rhythmic Gymnastics,1996,48.0,6
17033,Rhythmic Gymnastics,1996,49.0,2
17034,Rhythmic Gymnastics,1996,50.0,7
17035,Rhythmic Gymnastics,1996,52.0,3
17036,Rhythmic Gymnastics,1996,53.0,1
17037,Rhythmic Gymnastics,1996,54.0,1
17038,Rhythmic Gymnastics,1996,55.0,2
17039,Rhythmic Gymnastics,2000,37.0,1
17040,Rhythmic Gymnastics,2000,38.0,2
17041,Rhythmic Gymnastics,2000,39.0,2
17042,Rhythmic Gymnastics,2000,40.0,2
17043,Rhythmic Gymnastics,2000,41.0,3
17044,Rhythmic Gymnastics,2000,42.0,5
17045,Rhythmic Gymnastics,2000,43.0,6
17046,Rhythmic Gymnastics,2000,44.0,6
17047,Rhythmic Gymnastics,2000,45.0,8
17048,Rhythmic Gymnastics,2000,46.0,5
17049,Rhythmic Gymnastics,2000,47.0,8
17050,Rhythmic Gymnastics,2000,48.0,6
17051,Rhythmic Gymnastics,2000,49.0,5
17052,Rhythmic Gymnastics,2000,50.0,10
17053,Rhythmic Gymnastics,2000,51.0,3
17054,Rhythmic Gymnastics,2000,52.0,5
17055,Rhythmic Gymnastics,2000,53.0,2
17056,Rhythmic Gymnastics,2000,54.0,3
17057,Rhythmic Gymnastics,2000,55.0,1
17058,Rhythmic Gymnastics,2000,57.0,1
17059,Rhythmic Gymnastics,2004,36.0,1
17060,Rhythmic Gymnastics,2004,40.0,1
17061,Rhythmic Gymnastics,2004,41.0,2
17062,Rhythmic Gymnastics,2004,42.0,2
17063,Rhythmic Gymnastics,2004,43.0,4
17064,Rhythmic Gymnastics,2004,44.0,4
17065,Rhythmic Gymnastics,2004,45.0,1
17066,Rhythmic Gymnastics,2004,46.0,5
17067,Rhythmic Gymnastics,2004,47.0,10
17068,Rhythmic Gymnastics,2004,48.0,8
17069,Rhythmic Gymnastics,2004,49.0,5
17070,Rhythmic Gymnastics,2004,50.0,6
17071,Rhythmic Gymnastics,2004,51.0,3
17072,Rhythmic Gymnastics,2004,52.0,9
17073,Rhythmic Gymnastics,2004,53.0,8
17074,Rhythmic Gymnastics,2004,54.0,4
