lindex,Sport,Year,Weight,count
18189,Rugby Sevens,2016,53.0,1
18190,Rugby Sevens,2016,54.0,3
18191,Rugby Sevens,2016,55.0,3
18192,Rugby Sevens,2016,56.0,2
18193,Rugby Sevens,2016,57.0,3
18194,Rugby Sevens,2016,58.0,10
18195,Rugby Sevens,2016,59.0,2
18196,Rugby Sevens,2016,60.0,6
18197,Rugby Sevens,2016,61.0,4
18198,Rugby Sevens,2016,62.0,3
18199,Rugby Sevens,2016,63.0,10
18200,Rugby Sevens,2016,64.0,11
18201,Rugby Sevens,2016,65.0,10
18202,Rugby Sevens,2016,66.0,7
18203,Rugby Sevens,2016,67.0,4
18204,Rugby Sevens,2016,68.0,11
18205,Rugby Sevens,2016,69.0,7
18206,Rugby Sevens,2016,70.0,14
18207,Rugby Sevens,2016,71.0,4
18208,Rugby Sevens,2016,72.0,5
18209,Rugby Sevens,2016,73.0,12
18210,Rugby Sevens,2016,74.0,4
18211,Rugby Sevens,2016,75.0,11
18212,Rugby Sevens,2016,76.0,3
18213,Rugby Sevens,2016,77.0,1
18214,Rugby Sevens,2016,78.0,3
18215,Rugby Sevens,2016,79.0,3
18216,Rugby Sevens,2016,80.0,7
18217,Rugby Sevens,2016,81.0,3
18218,Rugby Sevens,2016,82.0,7
18219,Rugby Sevens,2016,83.0,8
18220,Rugby Sevens,2016,84.0,1
18221,Rugby Sevens,2016,85.0,9
18222,Rugby Sevens,2016,86.0,6
18223,Rugby Sevens,2016,87.0,7
18224,Rugby Sevens,2016,88.0,4
18225,Rugby Sevens,2016,89.0,5
18226,Rugby Sevens,2016,90.0,10
18227,Rugby Sevens,2016,91.0,3
18228,Rugby Sevens,2016,92.0,6
18229,Rugby Sevens,2016,93.0,8
18230,Rugby Sevens,2016,94.0,2
18231,Rugby Sevens,2016,95.0,9
18232,Rugby Sevens,2016,96.0,4
18233,Rugby Sevens,2016,97.0,2
18234,Rugby Sevens,2016,98.0,7
18235,Rugby Sevens,2016,99.0,2
18236,Rugby Sevens,2016,100.0,7
18237,Rugby Sevens,2016,101.0,2
18238,Rugby Sevens,2016,102.0,2
18239,Rugby Sevens,2016,103.0,3
18240,Rugby Sevens,2016,104.0,3
18241,Rugby Sevens,2016,105.0,7
18242,Rugby Sevens,2016,106.0,3
18243,Rugby Sevens,2016,107.0,2
18244,Rugby Sevens,2016,108.0,1
18245,Rugby Sevens,2016,109.0,1
18246,Rugby Sevens,2016,113.0,1
