lindex,Sport,Year,Weight,count
18164,Rugby,1900,70.0,1
18165,Rugby,1900,71.0,1
18166,Rugby,1900,74.0,1
18167,Rugby,1920,68.0,2
18168,Rugby,1920,70.0,1
18169,Rugby,1920,72.0,1
18170,Rugby,1920,75.0,1
18171,Rugby,1920,76.0,1
18172,Rugby,1920,77.0,1
18173,Rugby,1920,78.0,1
18174,Rugby,1920,85.0,1
18175,Rugby,1924,68.0,1
18176,Rugby,1924,69.0,2
18177,Rugby,1924,72.0,2
18178,Rugby,1924,73.0,1
18179,Rugby,1924,76.0,1
18180,Rugby,1924,77.0,2
18181,Rugby,1924,78.0,2
18182,Rugby,1924,83.0,1
18183,Rugby,1924,86.0,1
18184,Rugby,1924,87.0,1
18185,Rugby,1924,88.0,1
18186,Rugby,1924,92.0,1
18187,Rugby,1924,98.0,1
18188,Rugby,1924,99.0,1
