lindex,Sport,Year,Weight,count
18247,Sailing,1912,82.0,1
18248,Sailing,1920,67.0,1
18249,Sailing,1920,81.0,1
18250,Sailing,1928,90.0,1
18251,Sailing,1932,56.0,1
18252,Sailing,1932,59.0,2
18253,Sailing,1932,80.0,1
18254,Sailing,1936,56.0,1
18255,Sailing,1936,57.0,1
18256,Sailing,1936,62.0,1
18257,Sailing,1936,65.0,1
18258,Sailing,1936,70.0,1
18259,Sailing,1936,73.0,1
18260,Sailing,1936,75.0,1
18261,Sailing,1936,78.0,1
18262,Sailing,1936,80.0,2
18263,Sailing,1936,83.0,1
18264,Sailing,1948,54.0,1
18265,Sailing,1948,56.0,1
18266,Sailing,1948,65.0,1
18267,Sailing,1948,67.0,1
18268,Sailing,1948,68.0,1
18269,Sailing,1948,70.0,2
18270,Sailing,1948,71.0,1
18271,Sailing,1948,72.0,1
18272,Sailing,1948,75.0,1
18273,Sailing,1948,76.0,1
18274,Sailing,1948,77.0,1
18275,Sailing,1948,78.0,3
18276,Sailing,1948,79.0,1
18277,Sailing,1948,80.0,4
18278,Sailing,1948,82.0,2
18279,Sailing,1948,84.0,1
18280,Sailing,1948,85.0,3
18281,Sailing,1948,86.0,2
18282,Sailing,1948,89.0,1
18283,Sailing,1948,90.0,1
18284,Sailing,1948,92.0,1
18285,Sailing,1948,95.0,1
18286,Sailing,1948,98.0,2
18287,Sailing,1952,56.0,1
18288,Sailing,1952,64.0,1
18289,Sailing,1952,65.0,1
18290,Sailing,1952,67.0,1
18291,Sailing,1952,68.0,3
18292,Sailing,1952,70.0,7
18293,Sailing,1952,72.0,1
18294,Sailing,1952,73.0,1
18295,Sailing,1952,74.0,1
18296,Sailing,1952,75.0,3
18297,Sailing,1952,77.0,1
18298,Sailing,1952,78.0,3
18299,Sailing,1952,79.0,1
18300,Sailing,1952,80.0,3
18301,Sailing,1952,82.0,3
18302,Sailing,1952,84.0,2
18303,Sailing,1952,85.0,1
18304,Sailing,1952,86.0,2
18305,Sailing,1952,87.0,1
18306,Sailing,1952,88.0,1
18307,Sailing,1952,89.0,1
18308,Sailing,1952,90.0,1
18309,Sailing,1952,92.0,2
18310,Sailing,1952,95.0,2
18311,Sailing,1952,98.0,3
18312,Sailing,1956,60.0,1
18313,Sailing,1956,62.0,1
18314,Sailing,1956,63.0,1
18315,Sailing,1956,65.0,2
18316,Sailing,1956,67.0,1
18317,Sailing,1956,68.0,1
18318,Sailing,1956,70.0,4
18319,Sailing,1956,72.0,3
18320,Sailing,1956,73.0,4
18321,Sailing,1956,74.0,3
18322,Sailing,1956,75.0,1
18323,Sailing,1956,76.0,1
18324,Sailing,1956,77.0,2
18325,Sailing,1956,78.0,3
18326,Sailing,1956,79.0,2
18327,Sailing,1956,80.0,1
18328,Sailing,1956,81.0,1
18329,Sailing,1956,82.0,2
18330,Sailing,1956,83.0,3
18331,Sailing,1956,84.0,4
18332,Sailing,1956,85.0,2
18333,Sailing,1956,86.0,1
18334,Sailing,1956,87.0,1
18335,Sailing,1956,89.0,1
18336,Sailing,1956,90.0,2
18337,Sailing,1956,91.0,2
18338,Sailing,1956,92.0,3
18339,Sailing,1956,95.0,5
18340,Sailing,1956,102.0,1
18341,Sailing,1956,118.0,1
18342,Sailing,1960,51.0,1
18343,Sailing,1960,52.0,1
18344,Sailing,1960,56.0,2
18345,Sailing,1960,60.0,4
18346,Sailing,1960,61.0,2
18347,Sailing,1960,62.0,4
18348,Sailing,1960,63.0,6
18349,Sailing,1960,64.0,5
18350,Sailing,1960,65.0,13
18351,Sailing,1960,66.0,4
18352,Sailing,1960,67.0,5
18353,Sailing,1960,68.0,10
18354,Sailing,1960,69.0,3
18355,Sailing,1960,70.0,22
18356,Sailing,1960,71.0,5
18357,Sailing,1960,72.0,11
18358,Sailing,1960,73.0,9
18359,Sailing,1960,74.0,16
18360,Sailing,1960,75.0,22
18361,Sailing,1960,76.0,7
18362,Sailing,1960,77.0,6
18363,Sailing,1960,78.0,14
18364,Sailing,1960,79.0,8
18365,Sailing,1960,80.0,15
18366,Sailing,1960,81.0,2
18367,Sailing,1960,82.0,11
18368,Sailing,1960,83.0,10
18369,Sailing,1960,84.0,6
18370,Sailing,1960,85.0,11
18371,Sailing,1960,86.0,5
18372,Sailing,1960,87.0,6
18373,Sailing,1960,88.0,3
18374,Sailing,1960,89.0,3
18375,Sailing,1960,90.0,9
18376,Sailing,1960,91.0,1
18377,Sailing,1960,92.0,4
18378,Sailing,1960,93.0,2
18379,Sailing,1960,94.0,2
18380,Sailing,1960,95.0,5
18381,Sailing,1960,96.0,1
18382,Sailing,1960,98.0,1
18383,Sailing,1960,105.0,1
18384,Sailing,1964,50.0,1
18385,Sailing,1964,51.0,1
18386,Sailing,1964,52.0,1
18387,Sailing,1964,54.0,1
18388,Sailing,1964,55.0,1
18389,Sailing,1964,56.0,1
18390,Sailing,1964,60.0,1
18391,Sailing,1964,62.0,6
18392,Sailing,1964,63.0,2
18393,Sailing,1964,64.0,6
18394,Sailing,1964,65.0,5
18395,Sailing,1964,66.0,4
