lindex,Sport,Year,Weight,count
19142,Shooting,1912,109.0,2
19143,Shooting,1924,65.0,3
19144,Shooting,1924,75.0,2
19145,Shooting,1924,95.0,4
19146,Shooting,1924,130.0,2
19147,Shooting,1936,60.0,3
19148,Shooting,1936,61.0,3
19149,Shooting,1936,65.0,3
19150,Shooting,1936,70.0,1
19151,Shooting,1936,73.0,1
19152,Shooting,1936,77.0,1
19153,Shooting,1936,84.0,1
19154,Shooting,1936,88.0,2
19155,Shooting,1936,93.0,3
19156,Shooting,1948,55.0,1
19157,Shooting,1948,60.0,2
19158,Shooting,1948,61.0,3
19159,Shooting,1948,65.0,2
19160,Shooting,1948,68.0,1
19161,Shooting,1948,70.0,2
19162,Shooting,1948,72.0,2
19163,Shooting,1948,73.0,4
19164,Shooting,1948,75.0,1
19165,Shooting,1948,76.0,1
19166,Shooting,1948,77.0,1
19167,Shooting,1948,84.0,1
19168,Shooting,1948,85.0,2
19169,Shooting,1948,87.0,2
19170,Shooting,1948,88.0,2
19171,Shooting,1948,93.0,2
19172,Shooting,1948,94.0,1
19173,Shooting,1948,100.0,1
19174,Shooting,1952,55.0,2
19175,Shooting,1952,61.0,3
19176,Shooting,1952,65.0,3
19177,Shooting,1952,66.0,2
19178,Shooting,1952,67.0,8
19179,Shooting,1952,71.0,1
19180,Shooting,1952,72.0,4
19181,Shooting,1952,73.0,2
19182,Shooting,1952,75.0,1
19183,Shooting,1952,76.0,9
19184,Shooting,1952,77.0,1
19185,Shooting,1952,78.0,1
19186,Shooting,1952,79.0,3
19187,Shooting,1952,80.0,5
19188,Shooting,1952,81.0,3
19189,Shooting,1952,82.0,2
19190,Shooting,1952,84.0,2
19191,Shooting,1952,85.0,2
19192,Shooting,1952,86.0,1
19193,Shooting,1952,87.0,1
19194,Shooting,1952,88.0,2
19195,Shooting,1952,89.0,1
19196,Shooting,1952,90.0,1
19197,Shooting,1952,91.0,1
19198,Shooting,1952,92.0,1
19199,Shooting,1952,93.0,1
19200,Shooting,1952,95.0,1
19201,Shooting,1952,100.0,2
19202,Shooting,1952,130.0,1
19203,Shooting,1956,55.0,3
19204,Shooting,1956,57.0,2
19205,Shooting,1956,60.0,8
19206,Shooting,1956,61.0,2
19207,Shooting,1956,62.0,1
19208,Shooting,1956,63.0,2
19209,Shooting,1956,65.0,1
19210,Shooting,1956,66.0,2
19211,Shooting,1956,67.0,10
19212,Shooting,1956,68.0,4
19213,Shooting,1956,69.0,3
