lindex,Sport,Year,Weight,count
20123,Short Track Speed Skating,1992,46.0,1
20124,Short Track Speed Skating,1992,48.0,2
20125,Short Track Speed Skating,1992,49.0,1
20126,Short Track Speed Skating,1992,50.0,4
20127,Short Track Speed Skating,1992,52.0,4
20128,Short Track Speed Skating,1992,53.0,5
20129,Short Track Speed Skating,1992,54.0,5
20130,Short Track Speed Skating,1992,55.0,2
20131,Short Track Speed Skating,1992,56.0,3
20132,Short Track Speed Skating,1992,58.0,2
20133,Short Track Speed Skating,1992,59.0,3
20134,Short Track Speed Skating,1992,60.0,7
20135,Short Track Speed Skating,1992,61.0,5
20136,Short Track Speed Skating,1992,62.0,4
20137,Short Track Speed Skating,1992,63.0,4
20138,Short Track Speed Skating,1992,64.0,11
20139,Short Track Speed Skating,1992,65.0,7
20140,Short Track Speed Skating,1992,67.0,3
20141,Short Track Speed Skating,1992,68.0,3
20142,Short Track Speed Skating,1992,69.0,2
20143,Short Track Speed Skating,1992,70.0,2
20144,Short Track Speed Skating,1992,71.0,2
20145,Short Track Speed Skating,1992,72.0,4
20146,Short Track Speed Skating,1992,73.0,1
20147,Short Track Speed Skating,1992,74.0,8
20148,Short Track Speed Skating,1992,75.0,6
20149,Short Track Speed Skating,1992,77.0,2
20150,Short Track Speed Skating,1992,78.0,1
20151,Short Track Speed Skating,1992,80.0,2
20152,Short Track Speed Skating,1992,82.0,3
20153,Short Track Speed Skating,1992,83.0,1
20154,Short Track Speed Skating,1994,43.0,3
20155,Short Track Speed Skating,1994,46.0,3
20156,Short Track Speed Skating,1994,48.0,1
20157,Short Track Speed Skating,1994,49.0,2
20158,Short Track Speed Skating,1994,50.0,5
20159,Short Track Speed Skating,1994,51.0,3
20160,Short Track Speed Skating,1994,52.0,4
20161,Short Track Speed Skating,1994,53.0,7
20162,Short Track Speed Skating,1994,54.0,12
20163,Short Track Speed Skating,1994,55.0,2
20164,Short Track Speed Skating,1994,56.0,6
20165,Short Track Speed Skating,1994,57.0,2
20166,Short Track Speed Skating,1994,59.0,4
20167,Short Track Speed Skating,1994,60.0,10
20168,Short Track Speed Skating,1994,61.0,6
20169,Short Track Speed Skating,1994,62.0,1
20170,Short Track Speed Skating,1994,63.0,8
20171,Short Track Speed Skating,1994,64.0,1
20172,Short Track Speed Skating,1994,65.0,16
20173,Short Track Speed Skating,1994,66.0,5
20174,Short Track Speed Skating,1994,67.0,3
20175,Short Track Speed Skating,1994,68.0,4
20176,Short Track Speed Skating,1994,70.0,2
20177,Short Track Speed Skating,1994,71.0,6
20178,Short Track Speed Skating,1994,72.0,3
20179,Short Track Speed Skating,1994,73.0,5
20180,Short Track Speed Skating,1994,74.0,5
20181,Short Track Speed Skating,1994,75.0,12
20182,Short Track Speed Skating,1994,76.0,4
20183,Short Track Speed Skating,1994,77.0,9
20184,Short Track Speed Skating,1994,78.0,3
20185,Short Track Speed Skating,1994,80.0,6
20186,Short Track Speed Skating,1994,83.0,2
20187,Short Track Speed Skating,1994,85.0,1
20188,Short Track Speed Skating,1994,86.0,2
20189,Short Track Speed Skating,1998,46.0,3
20190,Short Track Speed Skating,1998,48.0,5
20191,Short Track Speed Skating,1998,49.0,6
20192,Short Track Speed Skating,1998,50.0,5
20193,Short Track Speed Skating,1998,51.0,1
20194,Short Track Speed Skating,1998,52.0,4
20195,Short Track Speed Skating,1998,53.0,5
20196,Short Track Speed Skating,1998,54.0,5
20197,Short Track Speed Skating,1998,55.0,5
20198,Short Track Speed Skating,1998,56.0,6
20199,Short Track Speed Skating,1998,57.0,3
20200,Short Track Speed Skating,1998,58.0,7
20201,Short Track Speed Skating,1998,59.0,5
20202,Short Track Speed Skating,1998,60.0,11
20203,Short Track Speed Skating,1998,61.0,6
20204,Short Track Speed Skating,1998,62.0,8
20205,Short Track Speed Skating,1998,63.0,7
20206,Short Track Speed Skating,1998,64.0,1
20207,Short Track Speed Skating,1998,65.0,11
20208,Short Track Speed Skating,1998,66.0,3
20209,Short Track Speed Skating,1998,67.0,3
20210,Short Track Speed Skating,1998,68.0,4
20211,Short Track Speed Skating,1998,69.0,5
20212,Short Track Speed Skating,1998,70.0,9
20213,Short Track Speed Skating,1998,71.0,2
20214,Short Track Speed Skating,1998,72.0,3
20215,Short Track Speed Skating,1998,73.0,7
20216,Short Track Speed Skating,1998,74.0,7
20217,Short Track Speed Skating,1998,75.0,13
20218,Short Track Speed Skating,1998,76.0,3
20219,Short Track Speed Skating,1998,77.0,9
20220,Short Track Speed Skating,1998,78.0,3
20221,Short Track Speed Skating,1998,80.0,3
20222,Short Track Speed Skating,1998,82.0,1
20223,Short Track Speed Skating,1998,83.0,2
20224,Short Track Speed Skating,1998,86.0,2
20225,Short Track Speed Skating,2002,46.0,4
20226,Short Track Speed Skating,2002,48.0,1
20227,Short Track Speed Skating,2002,49.0,6
20228,Short Track Speed Skating,2002,50.0,5
20229,Short Track Speed Skating,2002,52.0,9
20230,Short Track Speed Skating,2002,53.0,5
20231,Short Track Speed Skating,2002,54.0,10
20232,Short Track Speed Skating,2002,55.0,6
20233,Short Track Speed Skating,2002,56.0,4
20234,Short Track Speed Skating,2002,57.0,10
20235,Short Track Speed Skating,2002,58.0,10
20236,Short Track Speed Skating,2002,59.0,1
20237,Short Track Speed Skating,2002,60.0,26
20238,Short Track Speed Skating,2002,62.0,7
20239,Short Track Speed Skating,2002,63.0,12
20240,Short Track Speed Skating,2002,64.0,5
20241,Short Track Speed Skating,2002,65.0,18
20242,Short Track Speed Skating,2002,66.0,7
20243,Short Track Speed Skating,2002,67.0,7
20244,Short Track Speed Skating,2002,68.0,9
20245,Short Track Speed Skating,2002,69.0,6
20246,Short Track Speed Skating,2002,70.0,1
20247,Short Track Speed Skating,2002,71.0,8
20248,Short Track Speed Skating,2002,72.0,3
20249,Short Track Speed Skating,2002,73.0,10
20250,Short Track Speed Skating,2002,74.0,4
20251,Short Track Speed Skating,2002,75.0,17
20252,Short Track Speed Skating,2002,76.0,11
20253,Short Track Speed Skating,2002,77.0,4
20254,Short Track Speed Skating,2002,78.0,7
20255,Short Track Speed Skating,2002,80.0,6
20256,Short Track Speed Skating,2002,82.0,2
20257,Short Track Speed Skating,2002,83.0,4
20258,Short Track Speed Skating,2002,86.0,3
20259,Short Track Speed Skating,2006,46.0,4
20260,Short Track Speed Skating,2006,48.0,1
20261,Short Track Speed Skating,2006,49.0,6
20262,Short Track Speed Skating,2006,50.0,2
20263,Short Track Speed Skating,2006,52.0,5
20264,Short Track Speed Skating,2006,53.0,2
20265,Short Track Speed Skating,2006,54.0,11
20266,Short Track Speed Skating,2006,55.0,10
20267,Short Track Speed Skating,2006,56.0,8
20268,Short Track Speed Skating,2006,57.0,14
20269,Short Track Speed Skating,2006,58.0,13
20270,Short Track Speed Skating,2006,59.0,11
20271,Short Track Speed Skating,2006,60.0,16
20272,Short Track Speed Skating,2006,62.0,9
20273,Short Track Speed Skating,2006,63.0,13
20274,Short Track Speed Skating,2006,64.0,3
20275,Short Track Speed Skating,2006,65.0,23
20276,Short Track Speed Skating,2006,66.0,4
20277,Short Track Speed Skating,2006,67.0,1
20278,Short Track Speed Skating,2006,68.0,6
20279,Short Track Speed Skating,2006,69.0,4
20280,Short Track Speed Skating,2006,70.0,2
20281,Short Track Speed Skating,2006,71.0,8
20282,Short Track Speed Skating,2006,72.0,1
20283,Short Track Speed Skating,2006,73.0,13
20284,Short Track Speed Skating,2006,74.0,9
20285,Short Track Speed Skating,2006,75.0,5
20286,Short Track Speed Skating,2006,76.0,12
20287,Short Track Speed Skating,2006,77.0,6
20288,Short Track Speed Skating,2006,79.0,4
20289,Short Track Speed Skating,2006,80.0,7
20290,Short Track Speed Skating,2006,82.0,1
20291,Short Track Speed Skating,2006,83.0,2
20292,Short Track Speed Skating,2006,85.0,3
20293,Short Track Speed Skating,2010,46.0,3
20294,Short Track Speed Skating,2010,48.0,1
20295,Short Track Speed Skating,2010,49.0,8
20296,Short Track Speed Skating,2010,50.0,4
20297,Short Track Speed Skating,2010,52.0,6
20298,Short Track Speed Skating,2010,53.0,6
20299,Short Track Speed Skating,2010,54.0,11
20300,Short Track Speed Skating,2010,56.0,10
20301,Short Track Speed Skating,2010,57.0,10
20302,Short Track Speed Skating,2010,58.0,13
20303,Short Track Speed Skating,2010,59.0,10
20304,Short Track Speed Skating,2010,60.0,24
20305,Short Track Speed Skating,2010,61.0,9
20306,Short Track Speed Skating,2010,62.0,15
20307,Short Track Speed Skating,2010,63.0,26
20308,Short Track Speed Skating,2010,64.0,2
20309,Short Track Speed Skating,2010,65.0,17
20310,Short Track Speed Skating,2010,67.0,6
20311,Short Track Speed Skating,2010,68.0,6
20312,Short Track Speed Skating,2010,69.0,7
20313,Short Track Speed Skating,2010,70.0,13
20314,Short Track Speed Skating,2010,71.0,13
20315,Short Track Speed Skating,2010,72.0,3
20316,Short Track Speed Skating,2010,73.0,13
20317,Short Track Speed Skating,2010,74.0,2
20318,Short Track Speed Skating,2010,75.0,7
20319,Short Track Speed Skating,2010,76.0,4
20320,Short Track Speed Skating,2010,78.0,8
20321,Short Track Speed Skating,2010,79.0,4
20322,Short Track Speed Skating,2010,80.0,5
20323,Short Track Speed Skating,2010,83.0,5
20324,Short Track Speed Skating,2010,85.0,2
20325,Short Track Speed Skating,2014,43.0,1
20326,Short Track Speed Skating,2014,48.0,5
20327,Short Track Speed Skating,2014,49.0,3
20328,Short Track Speed Skating,2014,50.0,3
20329,Short Track Speed Skating,2014,52.0,14
20330,Short Track Speed Skating,2014,53.0,11
20331,Short Track Speed Skating,2014,54.0,7
20332,Short Track Speed Skating,2014,55.0,7
20333,Short Track Speed Skating,2014,56.0,17
20334,Short Track Speed Skating,2014,57.0,3
20335,Short Track Speed Skating,2014,58.0,11
20336,Short Track Speed Skating,2014,60.0,20
20337,Short Track Speed Skating,2014,61.0,8
20338,Short Track Speed Skating,2014,62.0,17
20339,Short Track Speed Skating,2014,63.0,18
20340,Short Track Speed Skating,2014,64.0,2
20341,Short Track Speed Skating,2014,65.0,16
20342,Short Track Speed Skating,2014,66.0,5
20343,Short Track Speed Skating,2014,68.0,3
20344,Short Track Speed Skating,2014,69.0,4
20345,Short Track Speed Skating,2014,70.0,18
20346,Short Track Speed Skating,2014,71.0,10
20347,Short Track Speed Skating,2014,72.0,10
20348,Short Track Speed Skating,2014,73.0,12
20349,Short Track Speed Skating,2014,74.0,2
20350,Short Track Speed Skating,2014,75.0,3
20351,Short Track Speed Skating,2014,76.0,7
20352,Short Track Speed Skating,2014,77.0,2
20353,Short Track Speed Skating,2014,78.0,3
20354,Short Track Speed Skating,2014,79.0,4
20355,Short Track Speed Skating,2014,80.0,6
20356,Short Track Speed Skating,2014,82.0,3
20357,Short Track Speed Skating,2014,83.0,9
20358,Short Track Speed Skating,2014,84.0,3
