lindex,Sport,Year,Weight,count
20359,Skeleton,1928,88.0,1
20360,Skeleton,2002,51.0,1
20361,Skeleton,2002,52.0,1
20362,Skeleton,2002,54.0,1
20363,Skeleton,2002,55.0,1
20364,Skeleton,2002,57.0,2
20365,Skeleton,2002,58.0,1
20366,Skeleton,2002,63.0,1
20367,Skeleton,2002,64.0,2
20368,Skeleton,2002,66.0,1
20369,Skeleton,2002,68.0,1
20370,Skeleton,2002,71.0,1
20371,Skeleton,2002,73.0,1
20372,Skeleton,2002,74.0,1
20373,Skeleton,2002,75.0,1
20374,Skeleton,2002,76.0,4
20375,Skeleton,2002,78.0,3
20376,Skeleton,2002,79.0,1
20377,Skeleton,2002,80.0,3
20378,Skeleton,2002,82.0,2
20379,Skeleton,2002,83.0,2
20380,Skeleton,2002,86.0,1
20381,Skeleton,2002,88.0,1
20382,Skeleton,2002,90.0,2
20383,Skeleton,2002,94.0,1
20384,Skeleton,2002,95.0,1
20385,Skeleton,2002,100.0,1
20386,Skeleton,2006,54.0,1
20387,Skeleton,2006,55.0,3
20388,Skeleton,2006,58.0,2
20389,Skeleton,2006,59.0,1
20390,Skeleton,2006,60.0,2
20391,Skeleton,2006,61.0,2
20392,Skeleton,2006,62.0,1
20393,Skeleton,2006,64.0,1
20394,Skeleton,2006,68.0,2
20395,Skeleton,2006,71.0,1
20396,Skeleton,2006,72.0,1
20397,Skeleton,2006,73.0,1
20398,Skeleton,2006,75.0,3
20399,Skeleton,2006,76.0,2
20400,Skeleton,2006,78.0,2
20401,Skeleton,2006,80.0,1
20402,Skeleton,2006,82.0,4
20403,Skeleton,2006,83.0,2
20404,Skeleton,2006,84.0,2
20405,Skeleton,2006,86.0,1
20406,Skeleton,2006,88.0,1
20407,Skeleton,2006,90.0,1
20408,Skeleton,2006,92.0,1
20409,Skeleton,2006,95.0,1
20410,Skeleton,2006,96.0,1
20411,Skeleton,2006,100.0,1
20412,Skeleton,2006,127.0,1
20413,Skeleton,2010,54.0,1
20414,Skeleton,2010,55.0,1
20415,Skeleton,2010,58.0,3
20416,Skeleton,2010,59.0,1
20417,Skeleton,2010,60.0,3
20418,Skeleton,2010,61.0,3
20419,Skeleton,2010,62.0,1
20420,Skeleton,2010,64.0,2
20421,Skeleton,2010,65.0,1
20422,Skeleton,2010,66.0,1
20423,Skeleton,2010,70.0,1
20424,Skeleton,2010,73.0,2
20425,Skeleton,2010,75.0,3
20426,Skeleton,2010,76.0,3
20427,Skeleton,2010,78.0,5
20428,Skeleton,2010,79.0,1
20429,Skeleton,2010,80.0,3
20430,Skeleton,2010,81.0,1
20431,Skeleton,2010,82.0,2
20432,Skeleton,2010,83.0,1
20433,Skeleton,2010,84.0,2
20434,Skeleton,2010,85.0,2
20435,Skeleton,2010,86.0,1
20436,Skeleton,2010,88.0,1
20437,Skeleton,2010,90.0,1
20438,Skeleton,2010,92.0,1
20439,Skeleton,2014,55.0,2
20440,Skeleton,2014,56.0,1
20441,Skeleton,2014,57.0,1
20442,Skeleton,2014,58.0,4
20443,Skeleton,2014,59.0,1
20444,Skeleton,2014,60.0,1
20445,Skeleton,2014,61.0,1
20446,Skeleton,2014,62.0,2
20447,Skeleton,2014,63.0,1
20448,Skeleton,2014,65.0,1
20449,Skeleton,2014,68.0,1
20450,Skeleton,2014,70.0,1
20451,Skeleton,2014,72.0,1
20452,Skeleton,2014,73.0,1
20453,Skeleton,2014,75.0,2
20454,Skeleton,2014,78.0,3
20455,Skeleton,2014,79.0,2
20456,Skeleton,2014,80.0,5
20457,Skeleton,2014,81.0,1
20458,Skeleton,2014,82.0,3
20459,Skeleton,2014,84.0,2
20460,Skeleton,2014,85.0,3
20461,Skeleton,2014,86.0,2
20462,Skeleton,2014,90.0,3
20463,Skeleton,2014,92.0,1
