lindex,Sport,Year,Weight,count
20826,Snowboarding,1998,47.0,1
20827,Snowboarding,1998,48.0,2
20828,Snowboarding,1998,50.0,3
20829,Snowboarding,1998,51.0,1
20830,Snowboarding,1998,52.0,3
20831,Snowboarding,1998,53.0,1
20832,Snowboarding,1998,54.0,4
20833,Snowboarding,1998,55.0,3
20834,Snowboarding,1998,56.0,4
20835,Snowboarding,1998,57.0,4
20836,Snowboarding,1998,58.0,6
20837,Snowboarding,1998,59.0,6
20838,Snowboarding,1998,60.0,4
20839,Snowboarding,1998,61.0,2
20840,Snowboarding,1998,62.0,3
20841,Snowboarding,1998,63.0,2
20842,Snowboarding,1998,64.0,5
20843,Snowboarding,1998,65.0,5
20844,Snowboarding,1998,66.0,3
20845,Snowboarding,1998,67.0,5
20846,Snowboarding,1998,68.0,5
20847,Snowboarding,1998,69.0,1
20848,Snowboarding,1998,70.0,4
20849,Snowboarding,1998,71.0,2
20850,Snowboarding,1998,72.0,1
20851,Snowboarding,1998,73.0,3
20852,Snowboarding,1998,74.0,2
20853,Snowboarding,1998,75.0,6
20854,Snowboarding,1998,76.0,2
20855,Snowboarding,1998,77.0,3
20856,Snowboarding,1998,78.0,3
20857,Snowboarding,1998,79.0,1
20858,Snowboarding,1998,80.0,7
20859,Snowboarding,1998,81.0,4
20860,Snowboarding,1998,82.0,1
20861,Snowboarding,1998,83.0,2
20862,Snowboarding,1998,84.0,1
20863,Snowboarding,1998,85.0,5
20864,Snowboarding,1998,86.0,1
20865,Snowboarding,1998,90.0,3
20866,Snowboarding,1998,91.0,1
20867,Snowboarding,1998,95.0,1
20868,Snowboarding,1998,102.0,1
20869,Snowboarding,2002,46.0,1
20870,Snowboarding,2002,47.0,1
20871,Snowboarding,2002,48.0,1
20872,Snowboarding,2002,51.0,1
20873,Snowboarding,2002,52.0,3
20874,Snowboarding,2002,53.0,1
20875,Snowboarding,2002,54.0,2
20876,Snowboarding,2002,55.0,1
20877,Snowboarding,2002,56.0,1
20878,Snowboarding,2002,57.0,6
20879,Snowboarding,2002,58.0,5
20880,Snowboarding,2002,59.0,3
20881,Snowboarding,2002,60.0,4
20882,Snowboarding,2002,61.0,6
20883,Snowboarding,2002,62.0,5
20884,Snowboarding,2002,63.0,1
20885,Snowboarding,2002,64.0,8
20886,Snowboarding,2002,65.0,2
20887,Snowboarding,2002,66.0,5
20888,Snowboarding,2002,67.0,1
20889,Snowboarding,2002,68.0,7
20890,Snowboarding,2002,69.0,1
20891,Snowboarding,2002,70.0,3
20892,Snowboarding,2002,71.0,2
20893,Snowboarding,2002,72.0,1
20894,Snowboarding,2002,73.0,2
20895,Snowboarding,2002,74.0,1
20896,Snowboarding,2002,75.0,4
20897,Snowboarding,2002,76.0,2
20898,Snowboarding,2002,77.0,2
20899,Snowboarding,2002,78.0,3
20900,Snowboarding,2002,79.0,2
20901,Snowboarding,2002,80.0,6
20902,Snowboarding,2002,81.0,1
20903,Snowboarding,2002,82.0,3
20904,Snowboarding,2002,83.0,3
20905,Snowboarding,2002,84.0,1
20906,Snowboarding,2002,85.0,7
20907,Snowboarding,2002,88.0,1
20908,Snowboarding,2002,90.0,3
20909,Snowboarding,2002,91.0,2
20910,Snowboarding,2002,95.0,2
20911,Snowboarding,2002,102.0,1
20912,Snowboarding,2006,43.0,1
20913,Snowboarding,2006,44.0,1
20914,Snowboarding,2006,47.0,1
20915,Snowboarding,2006,48.0,2
20916,Snowboarding,2006,50.0,3
20917,Snowboarding,2006,52.0,4
20918,Snowboarding,2006,53.0,2
20919,Snowboarding,2006,54.0,1
20920,Snowboarding,2006,55.0,5
20921,Snowboarding,2006,56.0,3
20922,Snowboarding,2006,57.0,8
20923,Snowboarding,2006,58.0,13
20924,Snowboarding,2006,59.0,3
20925,Snowboarding,2006,60.0,5
20926,Snowboarding,2006,61.0,6
20927,Snowboarding,2006,62.0,4
20928,Snowboarding,2006,63.0,5
20929,Snowboarding,2006,64.0,9
20930,Snowboarding,2006,65.0,9
20931,Snowboarding,2006,66.0,5
20932,Snowboarding,2006,67.0,2
20933,Snowboarding,2006,68.0,8
20934,Snowboarding,2006,69.0,1
20935,Snowboarding,2006,70.0,7
20936,Snowboarding,2006,71.0,3
20937,Snowboarding,2006,72.0,3
20938,Snowboarding,2006,73.0,2
20939,Snowboarding,2006,74.0,3
20940,Snowboarding,2006,75.0,6
20941,Snowboarding,2006,76.0,3
20942,Snowboarding,2006,77.0,4
20943,Snowboarding,2006,78.0,5
20944,Snowboarding,2006,79.0,3
20945,Snowboarding,2006,80.0,12
20946,Snowboarding,2006,81.0,1
20947,Snowboarding,2006,82.0,4
20948,Snowboarding,2006,83.0,7
20949,Snowboarding,2006,84.0,4
20950,Snowboarding,2006,85.0,11
20951,Snowboarding,2006,86.0,4
20952,Snowboarding,2006,87.0,1
20953,Snowboarding,2006,88.0,2
20954,Snowboarding,2006,89.0,2
20955,Snowboarding,2006,90.0,5
20956,Snowboarding,2006,91.0,2
20957,Snowboarding,2006,95.0,1
20958,Snowboarding,2006,99.0,1
20959,Snowboarding,2010,43.0,1
20960,Snowboarding,2010,44.0,1
20961,Snowboarding,2010,50.0,1
20962,Snowboarding,2010,52.0,3
20963,Snowboarding,2010,53.0,3
20964,Snowboarding,2010,54.0,4
20965,Snowboarding,2010,55.0,4
20966,Snowboarding,2010,56.0,4
20967,Snowboarding,2010,57.0,10
20968,Snowboarding,2010,58.0,8
20969,Snowboarding,2010,59.0,2
20970,Snowboarding,2010,60.0,9
20971,Snowboarding,2010,61.0,4
20972,Snowboarding,2010,62.0,5
20973,Snowboarding,2010,63.0,7
20974,Snowboarding,2010,64.0,6
20975,Snowboarding,2010,65.0,6
20976,Snowboarding,2010,66.0,5
20977,Snowboarding,2010,67.0,2
20978,Snowboarding,2010,68.0,4
20979,Snowboarding,2010,70.0,7
20980,Snowboarding,2010,71.0,3
20981,Snowboarding,2010,72.0,4
20982,Snowboarding,2010,73.0,3
20983,Snowboarding,2010,74.0,3
20984,Snowboarding,2010,75.0,2
20985,Snowboarding,2010,76.0,4
20986,Snowboarding,2010,77.0,5
20987,Snowboarding,2010,78.0,4
20988,Snowboarding,2010,79.0,2
20989,Snowboarding,2010,80.0,11
20990,Snowboarding,2010,81.0,2
20991,Snowboarding,2010,82.0,5
20992,Snowboarding,2010,83.0,9
20993,Snowboarding,2010,84.0,3
20994,Snowboarding,2010,85.0,8
20995,Snowboarding,2010,86.0,1
20996,Snowboarding,2010,87.0,3
20997,Snowboarding,2010,88.0,2
20998,Snowboarding,2010,89.0,1
20999,Snowboarding,2010,90.0,5
21000,Snowboarding,2010,91.0,3
21001,Snowboarding,2010,102.0,1
21002,Snowboarding,2014,49.0,1
21003,Snowboarding,2014,50.0,4
21004,Snowboarding,2014,52.0,5
21005,Snowboarding,2014,53.0,6
21006,Snowboarding,2014,54.0,7
21007,Snowboarding,2014,55.0,5
21008,Snowboarding,2014,56.0,5
21009,Snowboarding,2014,57.0,14
21010,Snowboarding,2014,58.0,10
21011,Snowboarding,2014,59.0,3
21012,Snowboarding,2014,60.0,15
21013,Snowboarding,2014,61.0,9
21014,Snowboarding,2014,62.0,11
21015,Snowboarding,2014,63.0,14
21016,Snowboarding,2014,64.0,4
21017,Snowboarding,2014,65.0,12
21018,Snowboarding,2014,66.0,8
21019,Snowboarding,2014,67.0,1
21020,Snowboarding,2014,68.0,12
21021,Snowboarding,2014,69.0,3
