lindex,Sport,Year,Weight,count
21045,Softball,1996,45.0,1
21046,Softball,1996,48.0,1
21047,Softball,1996,52.0,2
21048,Softball,1996,53.0,2
21049,Softball,1996,55.0,2
21050,Softball,1996,56.0,1
21051,Softball,1996,57.0,1
21052,Softball,1996,58.0,5
21053,Softball,1996,59.0,1
21054,Softball,1996,60.0,6
21055,Softball,1996,61.0,3
21056,Softball,1996,62.0,2
21057,Softball,1996,63.0,6
21058,Softball,1996,64.0,3
21059,Softball,1996,65.0,8
21060,Softball,1996,66.0,5
21061,Softball,1996,67.0,3
21062,Softball,1996,68.0,5
21063,Softball,1996,69.0,1
21064,Softball,1996,70.0,9
21065,Softball,1996,72.0,5
21066,Softball,1996,73.0,2
21067,Softball,1996,74.0,1
21068,Softball,1996,75.0,1
21069,Softball,1996,76.0,1
21070,Softball,1996,77.0,1
21071,Softball,1996,80.0,2
21072,Softball,1996,81.0,1
21073,Softball,1996,85.0,1
21074,Softball,1996,99.0,1
21075,Softball,2000,50.0,1
21076,Softball,2000,53.0,1
21077,Softball,2000,55.0,1
21078,Softball,2000,56.0,3
21079,Softball,2000,57.0,1
21080,Softball,2000,58.0,4
21081,Softball,2000,59.0,3
21082,Softball,2000,60.0,9
21083,Softball,2000,61.0,6
21084,Softball,2000,62.0,6
21085,Softball,2000,63.0,6
21086,Softball,2000,64.0,5
21087,Softball,2000,65.0,12
21088,Softball,2000,66.0,5
21089,Softball,2000,67.0,4
21090,Softball,2000,68.0,8
21091,Softball,2000,69.0,4
21092,Softball,2000,70.0,6
21093,Softball,2000,71.0,1
21094,Softball,2000,72.0,6
21095,Softball,2000,73.0,3
21096,Softball,2000,74.0,3
21097,Softball,2000,75.0,6
21098,Softball,2000,77.0,2
21099,Softball,2000,80.0,5
21100,Softball,2000,81.0,1
21101,Softball,2000,82.0,1
21102,Softball,2000,85.0,2
21103,Softball,2000,88.0,1
21104,Softball,2000,98.0,1
21105,Softball,2000,99.0,1
21106,Softball,2000,102.0,1
21107,Softball,2000,109.0,1
21108,Softball,2004,52.0,2
21109,Softball,2004,53.0,2
21110,Softball,2004,55.0,1
21111,Softball,2004,56.0,1
21112,Softball,2004,57.0,3
21113,Softball,2004,58.0,4
21114,Softball,2004,59.0,2
21115,Softball,2004,60.0,10
21116,Softball,2004,61.0,3
21117,Softball,2004,62.0,4
21118,Softball,2004,63.0,7
21119,Softball,2004,64.0,6
21120,Softball,2004,65.0,9
21121,Softball,2004,66.0,9
21122,Softball,2004,67.0,5
21123,Softball,2004,68.0,8
21124,Softball,2004,69.0,1
21125,Softball,2004,70.0,6
21126,Softball,2004,71.0,1
21127,Softball,2004,72.0,5
21128,Softball,2004,73.0,6
21129,Softball,2004,74.0,1
21130,Softball,2004,75.0,3
21131,Softball,2004,76.0,1
21132,Softball,2004,77.0,3
21133,Softball,2004,78.0,2
21134,Softball,2004,79.0,1
21135,Softball,2004,80.0,3
21136,Softball,2004,85.0,4
21137,Softball,2004,86.0,1
21138,Softball,2004,92.0,1
21139,Softball,2004,99.0,1
21140,Softball,2004,102.0,1
21141,Softball,2004,109.0,1
21142,Softball,2008,50.0,1
21143,Softball,2008,52.0,3
21144,Softball,2008,54.0,1
21145,Softball,2008,56.0,1
21146,Softball,2008,57.0,3
21147,Softball,2008,58.0,7
21148,Softball,2008,59.0,3
21149,Softball,2008,60.0,9
21150,Softball,2008,61.0,4
21151,Softball,2008,62.0,4
21152,Softball,2008,63.0,8
21153,Softball,2008,64.0,7
21154,Softball,2008,65.0,8
21155,Softball,2008,66.0,4
21156,Softball,2008,67.0,5
21157,Softball,2008,68.0,8
21158,Softball,2008,69.0,2
21159,Softball,2008,70.0,6
21160,Softball,2008,71.0,1
21161,Softball,2008,72.0,2
21162,Softball,2008,73.0,8
21163,Softball,2008,74.0,1
21164,Softball,2008,75.0,5
21165,Softball,2008,76.0,1
21166,Softball,2008,77.0,2
21167,Softball,2008,78.0,1
21168,Softball,2008,79.0,1
21169,Softball,2008,80.0,3
21170,Softball,2008,83.0,1
21171,Softball,2008,84.0,2
21172,Softball,2008,85.0,2
21173,Softball,2008,86.0,1
21174,Softball,2008,88.0,2
21175,Softball,2008,90.0,1
21176,Softball,2008,102.0,1
21177,Softball,2008,109.0,1
