lindex,Sport,Year,Weight,count
21778,Swimming,1900,83.0,3
21779,Swimming,1900,95.0,3
21780,Swimming,1904,66.0,1
21781,Swimming,1904,70.0,5
21782,Swimming,1904,83.0,2
21783,Swimming,1906,66.0,3
21784,Swimming,1906,70.0,2
21785,Swimming,1906,76.0,4
21786,Swimming,1906,80.0,2
21787,Swimming,1906,83.0,2
21788,Swimming,1906,86.0,1
21789,Swimming,1908,65.0,4
21790,Swimming,1908,66.0,3
21791,Swimming,1908,70.0,2
21792,Swimming,1908,71.0,1
21793,Swimming,1908,76.0,6
21794,Swimming,1908,80.0,3
21795,Swimming,1908,83.0,2
21796,Swimming,1912,66.0,3
21797,Swimming,1912,76.0,1
21798,Swimming,1920,65.0,3
21799,Swimming,1920,66.0,3
21800,Swimming,1920,73.0,2
21801,Swimming,1920,75.0,2
21802,Swimming,1920,90.0,3
21803,Swimming,1924,64.0,3
21804,Swimming,1924,65.0,3
21805,Swimming,1924,80.0,1
21806,Swimming,1924,90.0,2
21807,Swimming,1928,70.0,1
21808,Swimming,1928,73.0,1
21809,Swimming,1928,80.0,2
21810,Swimming,1928,114.0,1
21811,Swimming,1932,45.0,1
21812,Swimming,1932,54.0,1
21813,Swimming,1932,66.0,2
21814,Swimming,1932,73.0,1
21815,Swimming,1932,79.0,1
21816,Swimming,1932,82.0,1
21817,Swimming,1936,45.0,1
21818,Swimming,1936,54.0,1
21819,Swimming,1936,73.0,1
21820,Swimming,1936,75.0,1
21821,Swimming,1936,80.0,2
21822,Swimming,1936,102.0,1
21823,Swimming,1948,55.0,1
21824,Swimming,1948,56.0,1
21825,Swimming,1948,70.0,1
21826,Swimming,1948,71.0,2
21827,Swimming,1948,75.0,3
21828,Swimming,1948,77.0,1
21829,Swimming,1948,80.0,1
21830,Swimming,1948,107.0,3
21831,Swimming,1952,53.0,2
21832,Swimming,1952,55.0,1
21833,Swimming,1952,56.0,1
21834,Swimming,1952,57.0,2
21835,Swimming,1952,58.0,1
21836,Swimming,1952,59.0,4
21837,Swimming,1952,60.0,1
21838,Swimming,1952,61.0,1
21839,Swimming,1952,62.0,4
21840,Swimming,1952,64.0,3
21841,Swimming,1952,68.0,6
21842,Swimming,1952,69.0,1
21843,Swimming,1952,70.0,1
21844,Swimming,1952,71.0,2
21845,Swimming,1952,72.0,1
21846,Swimming,1952,73.0,1
21847,Swimming,1952,75.0,3
21848,Swimming,1952,78.0,6
21849,Swimming,1952,79.0,1
21850,Swimming,1952,80.0,1
21851,Swimming,1952,81.0,5
21852,Swimming,1952,83.0,3
21853,Swimming,1952,84.0,2
21854,Swimming,1952,85.0,1
21855,Swimming,1952,90.0,2
21856,Swimming,1952,107.0,2
21857,Swimming,1956,50.0,1
