lindex,Sport,Year,Weight,count
22693,Synchronized Swimming,1984,48.0,4
22694,Synchronized Swimming,1984,50.0,8
22695,Synchronized Swimming,1984,51.0,5
22696,Synchronized Swimming,1984,52.0,7
22697,Synchronized Swimming,1984,53.0,1
22698,Synchronized Swimming,1984,55.0,9
22699,Synchronized Swimming,1984,56.0,3
22700,Synchronized Swimming,1984,57.0,1
22701,Synchronized Swimming,1984,59.0,4
22702,Synchronized Swimming,1984,60.0,7
22703,Synchronized Swimming,1984,61.0,2
22704,Synchronized Swimming,1984,62.0,3
22705,Synchronized Swimming,1984,63.0,6
22706,Synchronized Swimming,1984,65.0,4
22707,Synchronized Swimming,1984,67.0,4
22708,Synchronized Swimming,1988,45.0,1
22709,Synchronized Swimming,1988,47.0,1
22710,Synchronized Swimming,1988,48.0,4
22711,Synchronized Swimming,1988,50.0,8
22712,Synchronized Swimming,1988,52.0,1
22713,Synchronized Swimming,1988,53.0,9
22714,Synchronized Swimming,1988,54.0,10
22715,Synchronized Swimming,1988,55.0,6
22716,Synchronized Swimming,1988,56.0,5
22717,Synchronized Swimming,1988,57.0,2
22718,Synchronized Swimming,1988,58.0,11
22719,Synchronized Swimming,1988,59.0,4
22720,Synchronized Swimming,1988,60.0,8
22721,Synchronized Swimming,1988,61.0,3
22722,Synchronized Swimming,1988,62.0,1
22723,Synchronized Swimming,1988,67.0,2
22724,Synchronized Swimming,1992,46.0,1
22725,Synchronized Swimming,1992,47.0,1
22726,Synchronized Swimming,1992,49.0,4
22727,Synchronized Swimming,1992,50.0,9
22728,Synchronized Swimming,1992,51.0,4
22729,Synchronized Swimming,1992,52.0,1
22730,Synchronized Swimming,1992,53.0,5
22731,Synchronized Swimming,1992,54.0,7
22732,Synchronized Swimming,1992,55.0,5
22733,Synchronized Swimming,1992,56.0,4
22734,Synchronized Swimming,1992,57.0,10
22735,Synchronized Swimming,1992,58.0,5
22736,Synchronized Swimming,1992,59.0,1
22737,Synchronized Swimming,1992,60.0,2
22738,Synchronized Swimming,1992,61.0,4
22739,Synchronized Swimming,1992,62.0,2
22740,Synchronized Swimming,1992,63.0,2
22741,Synchronized Swimming,1992,64.0,1
22742,Synchronized Swimming,1996,48.0,2
22743,Synchronized Swimming,1996,49.0,1
22744,Synchronized Swimming,1996,50.0,5
22745,Synchronized Swimming,1996,51.0,5
22746,Synchronized Swimming,1996,52.0,4
22747,Synchronized Swimming,1996,53.0,2
22748,Synchronized Swimming,1996,54.0,8
22749,Synchronized Swimming,1996,55.0,9
22750,Synchronized Swimming,1996,56.0,3
22751,Synchronized Swimming,1996,57.0,3
22752,Synchronized Swimming,1996,58.0,7
22753,Synchronized Swimming,1996,59.0,3
22754,Synchronized Swimming,1996,60.0,3
22755,Synchronized Swimming,1996,61.0,1
22756,Synchronized Swimming,1996,62.0,2
22757,Synchronized Swimming,1996,63.0,1
22758,Synchronized Swimming,1996,64.0,2
22759,Synchronized Swimming,1996,65.0,1
22760,Synchronized Swimming,1996,66.0,1
22761,Synchronized Swimming,1996,67.0,1
22762,Synchronized Swimming,1996,70.0,1
22763,Synchronized Swimming,2000,43.0,1
22764,Synchronized Swimming,2000,46.0,1
22765,Synchronized Swimming,2000,47.0,1
22766,Synchronized Swimming,2000,48.0,3
22767,Synchronized Swimming,2000,49.0,1
22768,Synchronized Swimming,2000,50.0,7
22769,Synchronized Swimming,2000,51.0,7
22770,Synchronized Swimming,2000,52.0,5
22771,Synchronized Swimming,2000,53.0,10
22772,Synchronized Swimming,2000,54.0,12
22773,Synchronized Swimming,2000,55.0,11
22774,Synchronized Swimming,2000,56.0,8
22775,Synchronized Swimming,2000,57.0,6
22776,Synchronized Swimming,2000,58.0,10
22777,Synchronized Swimming,2000,59.0,9
22778,Synchronized Swimming,2000,60.0,6
22779,Synchronized Swimming,2000,61.0,1
22780,Synchronized Swimming,2000,62.0,12
22781,Synchronized Swimming,2000,63.0,1
22782,Synchronized Swimming,2000,64.0,1
22783,Synchronized Swimming,2000,65.0,1
22784,Synchronized Swimming,2000,66.0,1
22785,Synchronized Swimming,2000,67.0,1
22786,Synchronized Swimming,2000,68.0,1
22787,Synchronized Swimming,2004,47.0,1
22788,Synchronized Swimming,2004,48.0,5
22789,Synchronized Swimming,2004,49.0,2
22790,Synchronized Swimming,2004,50.0,1
22791,Synchronized Swimming,2004,51.0,3
22792,Synchronized Swimming,2004,52.0,14
22793,Synchronized Swimming,2004,53.0,8
22794,Synchronized Swimming,2004,54.0,13
22795,Synchronized Swimming,2004,55.0,18
22796,Synchronized Swimming,2004,56.0,8
22797,Synchronized Swimming,2004,57.0,6
22798,Synchronized Swimming,2004,58.0,12
22799,Synchronized Swimming,2004,59.0,3
22800,Synchronized Swimming,2004,60.0,6
22801,Synchronized Swimming,2004,61.0,2
22802,Synchronized Swimming,2004,62.0,5
22803,Synchronized Swimming,2004,63.0,1
22804,Synchronized Swimming,2004,64.0,4
22805,Synchronized Swimming,2004,65.0,3
22806,Synchronized Swimming,2004,67.0,2
22807,Synchronized Swimming,2008,47.0,2
22808,Synchronized Swimming,2008,48.0,3
22809,Synchronized Swimming,2008,49.0,2
22810,Synchronized Swimming,2008,50.0,4
22811,Synchronized Swimming,2008,51.0,3
22812,Synchronized Swimming,2008,52.0,6
22813,Synchronized Swimming,2008,53.0,10
22814,Synchronized Swimming,2008,54.0,12
