lindex,Sport,Year,Weight,count
23388,Tennis,1904,86.0,2
23389,Tennis,1912,84.0,1
23390,Tennis,1912,85.0,1
23391,Tennis,1920,59.0,3
23392,Tennis,1920,64.0,2
23393,Tennis,1920,66.0,2
23394,Tennis,1924,64.0,1
23395,Tennis,1924,66.0,2
23396,Tennis,1924,76.0,3
23397,Tennis,1988,48.0,2
23398,Tennis,1988,53.0,2
23399,Tennis,1988,54.0,5
23400,Tennis,1988,55.0,7
23401,Tennis,1988,56.0,4
23402,Tennis,1988,57.0,2
23403,Tennis,1988,58.0,7
23404,Tennis,1988,59.0,7
23405,Tennis,1988,60.0,10
23406,Tennis,1988,61.0,4
23407,Tennis,1988,62.0,3
23408,Tennis,1988,63.0,3
23409,Tennis,1988,64.0,4
23410,Tennis,1988,65.0,5
23411,Tennis,1988,67.0,2
23412,Tennis,1988,68.0,10
23413,Tennis,1988,69.0,1
23414,Tennis,1988,70.0,16
23415,Tennis,1988,72.0,10
23416,Tennis,1988,73.0,1
23417,Tennis,1988,74.0,10
23418,Tennis,1988,75.0,18
23419,Tennis,1988,76.0,3
23420,Tennis,1988,77.0,9
23421,Tennis,1988,78.0,7
23422,Tennis,1988,79.0,10
23423,Tennis,1988,80.0,4
23424,Tennis,1988,81.0,7
23425,Tennis,1988,82.0,8
23426,Tennis,1988,83.0,4
23427,Tennis,1988,84.0,1
23428,Tennis,1988,85.0,5
23429,Tennis,1988,86.0,1
23430,Tennis,1988,87.0,1
23431,Tennis,1988,88.0,1
23432,Tennis,1988,96.0,2
23433,Tennis,1988,98.0,2
23434,Tennis,1992,50.0,1
23435,Tennis,1992,52.0,5
23436,Tennis,1992,53.0,4
23437,Tennis,1992,54.0,6
23438,Tennis,1992,55.0,10
23439,Tennis,1992,56.0,4
23440,Tennis,1992,57.0,5
23441,Tennis,1992,58.0,9
23442,Tennis,1992,59.0,8
23443,Tennis,1992,60.0,15
23444,Tennis,1992,61.0,8
23445,Tennis,1992,62.0,5
23446,Tennis,1992,63.0,8
23447,Tennis,1992,64.0,4
23448,Tennis,1992,65.0,8
23449,Tennis,1992,66.0,2
23450,Tennis,1992,67.0,2
23451,Tennis,1992,68.0,9
23452,Tennis,1992,70.0,5
23453,Tennis,1992,72.0,6
23454,Tennis,1992,73.0,5
23455,Tennis,1992,74.0,16
23456,Tennis,1992,75.0,20
23457,Tennis,1992,76.0,3
23458,Tennis,1992,77.0,11
23459,Tennis,1992,78.0,9
