lindex,Sport,Year,Weight,count
23808,Triathlon,2000,46.0,2
23809,Triathlon,2000,47.0,1
23810,Triathlon,2000,48.0,2
23811,Triathlon,2000,50.0,4
23812,Triathlon,2000,52.0,3
23813,Triathlon,2000,53.0,6
23814,Triathlon,2000,54.0,5
23815,Triathlon,2000,55.0,3
23816,Triathlon,2000,56.0,5
23817,Triathlon,2000,57.0,3
23818,Triathlon,2000,58.0,3
23819,Triathlon,2000,59.0,2
23820,Triathlon,2000,60.0,4
23821,Triathlon,2000,61.0,2
23822,Triathlon,2000,62.0,4
23823,Triathlon,2000,63.0,1
23824,Triathlon,2000,64.0,3
23825,Triathlon,2000,65.0,3
23826,Triathlon,2000,66.0,3
23827,Triathlon,2000,67.0,3
23828,Triathlon,2000,68.0,4
23829,Triathlon,2000,69.0,3
23830,Triathlon,2000,70.0,4
23831,Triathlon,2000,71.0,3
23832,Triathlon,2000,72.0,5
23833,Triathlon,2000,73.0,3
23834,Triathlon,2000,74.0,4
23835,Triathlon,2000,75.0,5
23836,Triathlon,2000,76.0,3
23837,Triathlon,2000,78.0,2
23838,Triathlon,2000,82.0,1
23839,Triathlon,2004,47.0,1
23840,Triathlon,2004,48.0,2
23841,Triathlon,2004,49.0,1
23842,Triathlon,2004,50.0,4
23843,Triathlon,2004,51.0,3
23844,Triathlon,2004,52.0,1
23845,Triathlon,2004,53.0,6
23846,Triathlon,2004,54.0,6
23847,Triathlon,2004,55.0,3
23848,Triathlon,2004,56.0,6
23849,Triathlon,2004,57.0,4
23850,Triathlon,2004,58.0,3
23851,Triathlon,2004,59.0,2
23852,Triathlon,2004,60.0,2
23853,Triathlon,2004,61.0,3
23854,Triathlon,2004,62.0,4
23855,Triathlon,2004,63.0,4
23856,Triathlon,2004,64.0,3
23857,Triathlon,2004,65.0,1
23858,Triathlon,2004,66.0,2
23859,Triathlon,2004,67.0,1
23860,Triathlon,2004,68.0,5
23861,Triathlon,2004,69.0,4
23862,Triathlon,2004,70.0,7
23863,Triathlon,2004,71.0,2
23864,Triathlon,2004,72.0,8
23865,Triathlon,2004,73.0,3
23866,Triathlon,2004,74.0,2
23867,Triathlon,2004,75.0,1
23868,Triathlon,2004,76.0,1
23869,Triathlon,2004,78.0,2
23870,Triathlon,2004,79.0,1
23871,Triathlon,2004,82.0,1
23872,Triathlon,2008,44.0,1
23873,Triathlon,2008,46.0,1
23874,Triathlon,2008,48.0,6
23875,Triathlon,2008,49.0,2
23876,Triathlon,2008,50.0,4
23877,Triathlon,2008,51.0,3
23878,Triathlon,2008,52.0,2
23879,Triathlon,2008,53.0,7
23880,Triathlon,2008,54.0,4
23881,Triathlon,2008,55.0,5
23882,Triathlon,2008,56.0,3
23883,Triathlon,2008,57.0,4
23884,Triathlon,2008,58.0,3
23885,Triathlon,2008,59.0,2
23886,Triathlon,2008,60.0,5
23887,Triathlon,2008,61.0,5
23888,Triathlon,2008,62.0,3
23889,Triathlon,2008,64.0,4
23890,Triathlon,2008,65.0,1
23891,Triathlon,2008,66.0,2
23892,Triathlon,2008,67.0,5
23893,Triathlon,2008,68.0,4
23894,Triathlon,2008,69.0,5
23895,Triathlon,2008,70.0,5
23896,Triathlon,2008,71.0,3
23897,Triathlon,2008,72.0,4
23898,Triathlon,2008,73.0,3
23899,Triathlon,2008,74.0,3
23900,Triathlon,2008,75.0,5
23901,Triathlon,2008,76.0,1
23902,Triathlon,2008,77.0,1
23903,Triathlon,2008,78.0,2
23904,Triathlon,2008,79.0,1
23905,Triathlon,2008,81.0,1
23906,Triathlon,2012,44.0,1
23907,Triathlon,2012,46.0,2
23908,Triathlon,2012,48.0,3
23909,Triathlon,2012,49.0,2
23910,Triathlon,2012,50.0,4
23911,Triathlon,2012,51.0,5
23912,Triathlon,2012,52.0,2
23913,Triathlon,2012,53.0,5
23914,Triathlon,2012,54.0,4
23915,Triathlon,2012,55.0,4
23916,Triathlon,2012,56.0,7
23917,Triathlon,2012,57.0,3
23918,Triathlon,2012,58.0,3
23919,Triathlon,2012,59.0,4
23920,Triathlon,2012,60.0,5
23921,Triathlon,2012,61.0,3
23922,Triathlon,2012,62.0,4
23923,Triathlon,2012,63.0,2
23924,Triathlon,2012,64.0,5
23925,Triathlon,2012,65.0,6
23926,Triathlon,2012,66.0,3
23927,Triathlon,2012,67.0,4
23928,Triathlon,2012,68.0,2
23929,Triathlon,2012,69.0,3
23930,Triathlon,2012,70.0,7
23931,Triathlon,2012,71.0,2
