lindex,Sport,Year,Weight,count
23974,Tug-Of-War,1904,75.0,1
23975,Tug-Of-War,1904,81.0,1
23976,Tug-Of-War,1904,82.0,1
23977,Tug-Of-War,1904,100.0,1
23978,Tug-Of-War,1906,77.0,1
23979,Tug-Of-War,1906,80.0,1
23980,Tug-Of-War,1906,81.0,1
23981,Tug-Of-War,1906,82.0,2
23982,Tug-Of-War,1906,88.0,1
23983,Tug-Of-War,1906,114.0,1
23984,Tug-Of-War,1908,83.0,1
23985,Tug-Of-War,1908,89.0,2
23986,Tug-Of-War,1908,91.0,1
23987,Tug-Of-War,1908,93.0,2
23988,Tug-Of-War,1908,94.0,1
23989,Tug-Of-War,1908,95.0,4
23990,Tug-Of-War,1908,96.0,1
23991,Tug-Of-War,1908,98.0,1
23992,Tug-Of-War,1908,99.0,2
23993,Tug-Of-War,1908,100.0,3
23994,Tug-Of-War,1908,102.0,1
23995,Tug-Of-War,1908,104.0,2
23996,Tug-Of-War,1908,108.0,1
23997,Tug-Of-War,1908,115.0,2
23998,Tug-Of-War,1912,100.0,2
23999,Tug-Of-War,1912,104.0,1
24000,Tug-Of-War,1920,85.0,1
24001,Tug-Of-War,1920,88.0,1
24002,Tug-Of-War,1920,89.0,1
24003,Tug-Of-War,1920,90.0,1
24004,Tug-Of-War,1920,95.0,3
24005,Tug-Of-War,1920,97.0,1
24006,Tug-Of-War,1920,100.0,2
24007,Tug-Of-War,1920,104.0,1
24008,Tug-Of-War,1920,109.0,2
24009,Tug-Of-War,1920,118.0,1
