,Sport,Year,Weight,count
0,Alpine Skiing,1936,50.0,1
1,Alpine Skiing,1936,52.0,1
2,Alpine Skiing,1936,68.0,1
3,Alpine Skiing,1936,74.0,1
4,Alpine Skiing,1948,49.0,2
5,Alpine Skiing,1948,53.0,3
6,Alpine Skiing,1948,55.0,2
7,Alpine Skiing,1948,56.0,3
8,Alpine Skiing,1948,59.0,5
9,Alpine Skiing,1948,63.0,2
10,Alpine Skiing,1948,64.0,3
11,Alpine Skiing,1948,65.0,3
12,Alpine Skiing,1948,67.0,3
13,Alpine Skiing,1948,68.0,2
14,Alpine Skiing,1948,70.0,1
15,Alpine Skiing,1948,71.0,3
16,Alpine Skiing,1948,72.0,3
17,Alpine Skiing,1948,76.0,5
18,Alpine Skiing,1948,78.0,1
19,Alpine Skiing,1948,79.0,1
20,Alpine Skiing,1952,54.0,3
21,Alpine Skiing,1952,59.0,3
22,Alpine Skiing,1952,60.0,6
23,Alpine Skiing,1952,63.0,5
24,Alpine Skiing,1952,64.0,3
25,Alpine Skiing,1952,65.0,3
26,Alpine Skiing,1952,66.0,2
27,Alpine Skiing,1952,67.0,4
28,Alpine Skiing,1952,68.0,3
29,Alpine Skiing,1952,69.0,2
30,Alpine Skiing,1952,72.0,2
31,Alpine Skiing,1952,76.0,3
32,Alpine Skiing,1952,77.0,3
33,Alpine Skiing,1952,80.0,5
34,Alpine Skiing,1956,51.0,3
35,Alpine Skiing,1956,54.0,5
36,Alpine Skiing,1956,55.0,3
37,Alpine Skiing,1956,57.0,3
38,Alpine Skiing,1956,59.0,6
39,Alpine Skiing,1956,60.0,6
40,Alpine Skiing,1956,63.0,2
41,Alpine Skiing,1956,64.0,2
42,Alpine Skiing,1956,65.0,8
43,Alpine Skiing,1956,67.0,3
44,Alpine Skiing,1956,68.0,6
45,Alpine Skiing,1956,72.0,7
46,Alpine Skiing,1956,75.0,3
47,Alpine Skiing,1956,76.0,2
48,Alpine Skiing,1956,77.0,3
49,Alpine Skiing,1956,78.0,6
50,Alpine Skiing,1956,80.0,2
51,Alpine Skiing,1960,51.0,6
52,Alpine Skiing,1960,56.0,3
53,Alpine Skiing,1960,57.0,9
54,Alpine Skiing,1960,58.0,5
55,Alpine Skiing,1960,60.0,8
56,Alpine Skiing,1960,62.0,7
57,Alpine Skiing,1960,63.0,3
58,Alpine Skiing,1960,65.0,12
59,Alpine Skiing,1960,67.0,6
60,Alpine Skiing,1960,68.0,12
61,Alpine Skiing,1960,69.0,1
62,Alpine Skiing,1960,70.0,9
63,Alpine Skiing,1960,71.0,1
64,Alpine Skiing,1960,72.0,5
65,Alpine Skiing,1960,73.0,2
66,Alpine Skiing,1960,75.0,6
67,Alpine Skiing,1960,76.0,4
68,Alpine Skiing,1960,83.0,2
69,Alpine Skiing,1964,50.0,3
70,Alpine Skiing,1964,51.0,3
71,Alpine Skiing,1964,52.0,7
72,Alpine Skiing,1964,53.0,2
73,Alpine Skiing,1964,54.0,1
74,Alpine Skiing,1964,55.0,14
75,Alpine Skiing,1964,56.0,5
76,Alpine Skiing,1964,57.0,10
77,Alpine Skiing,1964,58.0,7
78,Alpine Skiing,1964,59.0,3
