lindex,Sport,Year,Weight,count
25368,Weightlifting,1896,70.0,1
25369,Weightlifting,1896,102.0,2
25370,Weightlifting,1904,75.0,2
25371,Weightlifting,1904,105.0,1
25372,Weightlifting,1906,81.0,2
25373,Weightlifting,1906,82.0,2
25374,Weightlifting,1906,98.0,2
25375,Weightlifting,1906,114.0,2
25376,Weightlifting,1920,60.0,2
25377,Weightlifting,1920,66.0,3
25378,Weightlifting,1920,73.0,1
25379,Weightlifting,1920,74.0,2
25380,Weightlifting,1920,75.0,1
25381,Weightlifting,1920,82.0,2
25382,Weightlifting,1920,95.0,1
25383,Weightlifting,1920,99.0,1
25384,Weightlifting,1920,146.0,1
25385,Weightlifting,1924,56.0,1
25386,Weightlifting,1924,57.0,1
25387,Weightlifting,1924,58.0,3
25388,Weightlifting,1924,59.0,12
25389,Weightlifting,1924,60.0,4
25390,Weightlifting,1924,65.0,1
25391,Weightlifting,1924,66.0,10
25392,Weightlifting,1924,66.5,1
25393,Weightlifting,1924,67.0,5
25394,Weightlifting,1924,68.0,5
25395,Weightlifting,1924,71.0,3
25396,Weightlifting,1924,72.0,5
25397,Weightlifting,1924,73.0,6
25398,Weightlifting,1924,74.0,7
25399,Weightlifting,1924,74.5,1
25400,Weightlifting,1924,75.0,3
25401,Weightlifting,1924,77.0,1
25402,Weightlifting,1924,78.0,1
25403,Weightlifting,1924,79.0,2
25404,Weightlifting,1924,80.0,3
25405,Weightlifting,1924,81.0,4
25406,Weightlifting,1924,82.0,8
25407,Weightlifting,1924,83.0,2
25408,Weightlifting,1924,86.0,1
25409,Weightlifting,1924,88.0,1
25410,Weightlifting,1924,95.0,2
25411,Weightlifting,1924,96.0,1
25412,Weightlifting,1924,97.0,2
25413,Weightlifting,1924,98.0,1
25414,Weightlifting,1924,99.0,3
25415,Weightlifting,1924,100.0,3
25416,Weightlifting,1924,107.0,1
25417,Weightlifting,1924,109.0,1
25418,Weightlifting,1924,110.0,1
25419,Weightlifting,1924,146.0,1
25420,Weightlifting,1928,56.0,1
25421,Weightlifting,1928,59.0,7
25422,Weightlifting,1928,60.0,2
25423,Weightlifting,1928,65.0,1
25424,Weightlifting,1928,66.5,1
25425,Weightlifting,1928,67.0,1
25426,Weightlifting,1928,68.0,1
25427,Weightlifting,1928,71.0,1
25428,Weightlifting,1928,72.0,3
25429,Weightlifting,1928,73.0,1
25430,Weightlifting,1928,74.0,3
25431,Weightlifting,1928,74.5,1
25432,Weightlifting,1928,75.0,1
25433,Weightlifting,1928,79.0,1
25434,Weightlifting,1928,80.0,1
25435,Weightlifting,1928,82.0,3
25436,Weightlifting,1928,83.0,1
25437,Weightlifting,1928,85.0,1
25438,Weightlifting,1928,93.0,1
25439,Weightlifting,1928,94.0,1
25440,Weightlifting,1928,97.0,1
25441,Weightlifting,1928,98.0,1
25442,Weightlifting,1928,99.0,1
25443,Weightlifting,1928,100.0,1
25444,Weightlifting,1928,104.0,1
25445,Weightlifting,1928,109.0,1
25446,Weightlifting,1928,110.0,1
25447,Weightlifting,1928,114.0,1
25448,Weightlifting,1928,120.0,1
25449,Weightlifting,1932,59.0,2
25450,Weightlifting,1932,60.0,1
25451,Weightlifting,1932,66.5,1
25452,Weightlifting,1932,67.0,1
25453,Weightlifting,1932,69.0,1
25454,Weightlifting,1932,73.0,1
25455,Weightlifting,1932,74.0,1
25456,Weightlifting,1932,74.5,1
25457,Weightlifting,1932,75.0,1
25458,Weightlifting,1932,82.0,2
25459,Weightlifting,1932,83.0,1
25460,Weightlifting,1932,93.0,1
25461,Weightlifting,1932,104.0,1
25462,Weightlifting,1936,58.0,1
25463,Weightlifting,1936,59.0,7
25464,Weightlifting,1936,60.0,11
25465,Weightlifting,1936,63.0,1
25466,Weightlifting,1936,64.0,1
25467,Weightlifting,1936,66.0,1
25468,Weightlifting,1936,66.5,1
25469,Weightlifting,1936,67.0,13
25470,Weightlifting,1936,69.0,1
25471,Weightlifting,1936,73.0,1
25472,Weightlifting,1936,74.0,5
25473,Weightlifting,1936,74.5,1
25474,Weightlifting,1936,75.0,6
25475,Weightlifting,1936,76.0,1
25476,Weightlifting,1936,78.5,1
