lindex,Sport,Year,Weight,count
26611,Wrestling,1896,70.0,1
26612,Wrestling,1896,102.0,1
26613,Wrestling,1904,54.0,1
26614,Wrestling,1904,75.0,1
26615,Wrestling,1906,70.0,1
26616,Wrestling,1906,87.5,2
26617,Wrestling,1906,95.0,1
26618,Wrestling,1908,52.0,1
26619,Wrestling,1908,53.0,1
26620,Wrestling,1908,54.0,1
26621,Wrestling,1908,60.0,2
26622,Wrestling,1908,64.0,1
26623,Wrestling,1908,65.0,2
26624,Wrestling,1908,66.0,1
26625,Wrestling,1908,67.0,2
26626,Wrestling,1908,69.0,2
26627,Wrestling,1908,70.0,2
26628,Wrestling,1908,73.0,1
26629,Wrestling,1908,83.0,1
26630,Wrestling,1908,84.0,1
26631,Wrestling,1908,85.0,2
26632,Wrestling,1908,87.5,1
26633,Wrestling,1908,91.0,1
26634,Wrestling,1908,95.0,1
26635,Wrestling,1908,99.0,2
26636,Wrestling,1908,100.0,3
26637,Wrestling,1908,102.0,1
26638,Wrestling,1912,52.0,1
26639,Wrestling,1912,59.0,1
26640,Wrestling,1912,62.0,1
26641,Wrestling,1912,64.0,1
26642,Wrestling,1912,69.0,1
26643,Wrestling,1912,70.0,1
26644,Wrestling,1912,71.0,1
26645,Wrestling,1912,73.0,1
26646,Wrestling,1912,77.0,1
26647,Wrestling,1912,77.5,1
26648,Wrestling,1912,84.0,1
26649,Wrestling,1912,92.0,1
26650,Wrestling,1912,96.0,1
26651,Wrestling,1912,99.0,1
26652,Wrestling,1912,115.0,1
26653,Wrestling,1912,120.0,1
26654,Wrestling,1912,125.0,1
26655,Wrestling,1920,60.0,1
26656,Wrestling,1920,60.5,1
26657,Wrestling,1920,64.0,1
26658,Wrestling,1920,69.0,1
26659,Wrestling,1920,70.5,1
26660,Wrestling,1920,71.0,1
26661,Wrestling,1920,75.0,2
26662,Wrestling,1920,86.5,1
26663,Wrestling,1920,90.0,1
26664,Wrestling,1920,92.0,1
26665,Wrestling,1920,95.0,1
26666,Wrestling,1920,96.0,1
26667,Wrestling,1924,58.0,1
26668,Wrestling,1924,59.0,1
26669,Wrestling,1924,60.0,2
26670,Wrestling,1924,60.5,1
26671,Wrestling,1924,61.0,1
26672,Wrestling,1924,64.0,1
26673,Wrestling,1924,70.0,1
26674,Wrestling,1924,71.0,1
26675,Wrestling,1924,73.0,1
26676,Wrestling,1924,75.0,1
26677,Wrestling,1924,77.5,1
26678,Wrestling,1924,79.0,1
26679,Wrestling,1924,84.0,1
26680,Wrestling,1924,86.5,1
26681,Wrestling,1924,92.0,1
26682,Wrestling,1924,100.0,1
26683,Wrestling,1928,58.0,1
26684,Wrestling,1928,60.5,1
26685,Wrestling,1928,61.0,1
26686,Wrestling,1928,70.0,1
26687,Wrestling,1928,71.0,1
26688,Wrestling,1928,77.5,1
26689,Wrestling,1928,79.0,1
26690,Wrestling,1928,81.5,1
26691,Wrestling,1928,86.5,1
26692,Wrestling,1932,61.0,2
26693,Wrestling,1932,65.0,1
26694,Wrestling,1932,71.0,1
26695,Wrestling,1932,79.0,1
26696,Wrestling,1932,81.5,1
26697,Wrestling,1932,83.0,1
26698,Wrestling,1932,87.0,1
26699,Wrestling,1932,99.0,1
26700,Wrestling,1936,61.0,1
26701,Wrestling,1936,65.0,1
26702,Wrestling,1936,76.0,1
26703,Wrestling,1936,77.5,1
26704,Wrestling,1936,79.0,3
26705,Wrestling,1936,81.5,1
26706,Wrestling,1936,83.0,1
26707,Wrestling,1936,90.0,2
26708,Wrestling,1936,99.0,1
26709,Wrestling,1936,103.0,1
26710,Wrestling,1936,110.0,2
26711,Wrestling,1948,53.5,1
26712,Wrestling,1948,56.0,1
