,NOC,Sport,count
0,AFG,Athletics,22
1,AFG,Boxing,5
2,AFG,Football,11
3,AFG,Hockey,39
4,AFG,Judo,3
5,AFG,Taekwondo,4
6,AFG,Wrestling,42
7,AHO,Athletics,14
8,AHO,Bobsleigh,4
9,AHO,Equestrianism,2
10,AHO,Fencing,4
11,AHO,Football,11
12,AHO,Judo,3
13,AHO,Luge,1
14,AHO,Sailing,6
15,AHO,Shooting,7
16,AHO,Swimming,11
17,AHO,Synchronized Swimming,4
18,AHO,Triathlon,1
19,AHO,Weightlifting,11
20,ALB,Alpine Skiing,7
21,ALB,Athletics,12
22,ALB,Cycling,1
23,ALB,Judo,2
24,ALB,Shooting,16
25,ALB,Swimming,11
26,ALB,Weightlifting,17
27,ALB,Wrestling,4
28,ALG,Alpine Skiing,10
29,ALG,Athletics,139
30,ALG,Badminton,1
31,ALG,Boxing,69
32,ALG,Cross Country Skiing,2
33,ALG,Cycling,6
34,ALG,Fencing,21
35,ALG,Football,32
36,ALG,Gymnastics,24
37,ALG,Handball,59
38,ALG,Judo,52
39,ALG,Rowing,10
40,ALG,Sailing,3
41,ALG,Shooting,2
42,ALG,Swimming,38
43,ALG,Table Tennis,10
44,ALG,Taekwondo,1
45,ALG,Tennis,2
46,ALG,Trampolining,1
47,ALG,Volleyball,31
48,ALG,Weightlifting,19
49,ALG,Wrestling,19
50,AND,Alpine Skiing,105
51,AND,Athletics,13
52,AND,Biathlon,2
53,AND,Boxing,1
54,AND,Canoeing,1
55,AND,Cross Country Skiing,7
56,AND,Cycling,5
57,AND,Judo,6
58,AND,Sailing,5
59,AND,Shooting,12
60,AND,Snowboarding,2
61,AND,Swimming,10
62,ANG,Athletics,29
63,ANG,Basketball,71
64,ANG,Beach Volleyball,2
65,ANG,Boxing,7
66,ANG,Canoeing,6
67,ANG,Handball,84
68,ANG,Judo,14
69,ANG,Rowing,2
70,ANG,Sailing,6
71,ANG,Shooting,3
72,ANG,Swimming,43
73,ANT,Athletics,96
74,ANT,Boxing,2
75,ANT,Canoeing,3
76,ANT,Cycling,17
77,ANT,Sailing,9
78,ANT,Swimming,6
79,ANZ,Athletics,22
80,ANZ,Boxing,1
81,ANZ,Diving,1
82,ANZ,Rowing,10
83,ANZ,Rugby,15
84,ANZ,Shooting,3
85,ANZ,Swimming,33
86,ANZ,Tennis,1
87,ARG,Alpine Skiing,262
88,ARG,Archery,2
89,ARG,Art Competitions,2
90,ARG,Athletics,247
91,ARG,Basketball,88
92,ARG,Beach Volleyball,14
93,ARG,Biathlon,40
94,ARG,Bobsleigh,29
95,ARG,Boxing,133
96,ARG,Canoeing,49
97,ARG,Cross Country Skiing,41
98,ARG,Cycling,179
99,ARG,Diving,9
100,ARG,Equestrianism,156
101,ARG,Fencing,239
102,ARG,Figure Skating,1
103,ARG,Football,142
104,ARG,Freestyle Skiing,3
105,ARG,Golf,2
106,ARG,Gymnastics,133
107,ARG,Handball,44
108,ARG,Hockey,286
109,ARG,Judo,65
110,ARG,Luge,7
111,ARG,Modern Pentathlon,18
112,ARG,Polo,9
113,ARG,Rowing,184
114,ARG,Rugby Sevens,13
115,ARG,Sailing,178
116,ARG,Shooting,120
117,ARG,Skeleton,1
118,ARG,Snowboarding,1
119,ARG,Swimming,254
120,ARG,Synchronized Swimming,4
121,ARG,Table Tennis,14
122,ARG,Taekwondo,7
123,ARG,Tennis,89
124,ARG,Triathlon,6
125,ARG,Volleyball,94
126,ARG,Water Polo,28
127,ARG,Weightlifting,36
128,ARG,Wrestling,68
129,ARM,Alpine Skiing,11
130,ARM,Athletics,18
131,ARM,Bobsleigh,4
132,ARM,Boxing,18
133,ARM,Canoeing,2
134,ARM,Cross Country Skiing,22
135,ARM,Cycling,1
136,ARM,Diving,3
137,ARM,Figure Skating,9
138,ARM,Freestyle Skiing,1
139,ARM,Gymnastics,20
140,ARM,Judo,8
141,ARM,Shooting,9
142,ARM,Swimming,8
143,ARM,Taekwondo,1
144,ARM,Tennis,3
145,ARM,Weightlifting,36
146,ARM,Wrestling,47
147,ARU,Athletics,9
148,ARU,Boxing,2
149,ARU,Cycling,3
150,ARU,Fencing,2
151,ARU,Judo,5
152,ARU,Sailing,4
153,ARU,Swimming,9
154,ARU,Synchronized Swimming,4
155,ARU,Taekwondo,1
156,ARU,Weightlifting,3
157,ASA,Archery,1
158,ASA,Athletics,11
159,ASA,Bobsleigh,2
160,ASA,Boxing,5
161,ASA,Judo,3
162,ASA,Sailing,2
163,ASA,Swimming,4
164,ASA,Weightlifting,7
165,ASA,Wrestling,2
166,AUS,Alpine Skiing,141
167,AUS,Alpinism,1
168,AUS,Archery,73
169,AUS,Art Competitions,3
170,AUS,Athletics,994
171,AUS,Badminton,57
172,AUS,Baseball,68
173,AUS,Basketball,262
174,AUS,Beach Volleyball,36
175,AUS,Biathlon,22
176,AUS,Bobsleigh,41
177,AUS,Boxing,125
178,AUS,Canoeing,242
179,AUS,Cross Country Skiing,61
180,AUS,Cycling,428
181,AUS,Diving,152
182,AUS,Equestrianism,231
183,AUS,Fencing,147
184,AUS,Figure Skating,39
185,AUS,Football,161
186,AUS,Freestyle Skiing,60
187,AUS,Golf,4
188,AUS,Gymnastics,513
189,AUS,Handball,30
190,AUS,Hockey,381
191,AUS,Ice Hockey,17
192,AUS,Judo,87
193,AUS,Luge,5
194,AUS,Modern Pentathlon,53
195,AUS,Nordic Combined,1
196,AUS,Rhythmic Gymnastics,7
197,AUS,Rowing,509
198,AUS,Rugby Sevens,25
199,AUS,Sailing,210
200,AUS,Shooting,244
201,AUS,Short Track Speed Skating,54
202,AUS,Skeleton,8
203,AUS,Snowboarding,33
204,AUS,Softball,60
205,AUS,Speed Skating,63
206,AUS,Swimming,1235
207,AUS,Synchronized Swimming,57
208,AUS,Table Tennis,72
209,AUS,Taekwondo,22
210,AUS,Tennis,93
211,AUS,Trampolining,6
212,AUS,Triathlon,29
213,AUS,Volleyball,48
214,AUS,Water Polo,249
215,AUS,Weightlifting,78
216,AUS,Wrestling,101
217,AUT,Alpine Skiing,556
218,AUT,Archery,4
219,AUT,Art Competitions,199
220,AUT,Athletics,327
221,AUT,Badminton,9
222,AUT,Beach Volleyball,20
223,AUT,Biathlon,167
224,AUT,Bobsleigh,198
225,AUT,Boxing,37
226,AUT,Canoeing,120
227,AUT,Cross Country Skiing,241
228,AUT,Cycling,214
229,AUT,Diving,75
230,AUT,Equestrianism,110
231,AUT,Fencing,215
232,AUT,Figure Skating,101
233,AUT,Football,50
234,AUT,Freestyle Skiing,25
235,AUT,Golf,2
236,AUT,Gymnastics,365
237,AUT,Handball,66
238,AUT,Hockey,55
239,AUT,Ice Hockey,241
240,AUT,Judo,53
241,AUT,Luge,136
242,AUT,Modern Pentathlon,37
243,AUT,Nordic Combined,107
244,AUT,Rhythmic Gymnastics,6
245,AUT,Rowing,132
246,AUT,Sailing,127
247,AUT,Shooting,182
248,AUT,Short Track Speed Skating,5
249,AUT,Skeleton,11
250,AUT,Ski Jumping,167
251,AUT,Snowboarding,72
252,AUT,Speed Skating,163
253,AUT,Swimming,209
