,Weight,Sport,count
0,25.0,Gymnastics,6
1,28.0,Diving,2
2,28.0,Football,1
3,28.0,Gymnastics,11
4,30.0,Gymnastics,40
5,30.0,Rhythmic Gymnastics,1
6,30.0,Volleyball,1
7,31.0,Gymnastics,23
8,32.0,Diving,2
9,32.0,Figure Skating,1
10,32.0,Gymnastics,38
11,33.0,Gymnastics,50
12,33.0,Rhythmic Gymnastics,1
13,34.0,Figure Skating,1
14,34.0,Gymnastics,72
15,35.0,Athletics,3
16,35.0,Figure Skating,1
17,35.0,Gymnastics,88
18,36.0,Athletics,2
19,36.0,Diving,1
20,36.0,Figure Skating,3
21,36.0,Gymnastics,128
22,36.0,Rhythmic Gymnastics,3
23,37.0,Diving,1
24,37.0,Gymnastics,166
25,37.0,Rhythmic Gymnastics,4
26,37.0,Rowing,2
27,38.0,Athletics,2
28,38.0,Baseball,1
29,38.0,Diving,1
30,38.0,Figure Skating,6
31,38.0,Gymnastics,175
32,38.0,Rhythmic Gymnastics,9
33,38.0,Rowing,1
34,39.0,Athletics,8
35,39.0,Diving,2
36,39.0,Gymnastics,177
37,39.0,Rhythmic Gymnastics,4
38,39.0,Rowing,2
39,39.0,Swimming,2
40,39.0,Synchronized Swimming,1
41,40.0,Athletics,38
42,40.0,Baseball,1
43,40.0,Diving,3
44,40.0,Figure Skating,9
45,40.0,Gymnastics,294
46,40.0,Rhythmic Gymnastics,16
47,40.0,Rowing,5
48,40.0,Shooting,2
49,40.0,Swimming,4
50,41.0,Athletics,20
51,41.0,Figure Skating,18
52,41.0,Gymnastics,196
53,41.0,Rhythmic Gymnastics,11
54,41.0,Rowing,9
55,41.0,Shooting,2
56,41.0,Swimming,3
57,42.0,Archery,1
58,42.0,Athletics,59
59,42.0,Cross Country Skiing,2
60,42.0,Diving,8
61,42.0,Figure Skating,15
62,42.0,Gymnastics,216
63,42.0,Modern Pentathlon,1
64,42.0,Rhythmic Gymnastics,23
65,42.0,Rowing,11
66,42.0,Shooting,1
67,42.0,Swimming,2
68,42.0,Table Tennis,4
69,42.0,Wrestling,1
70,43.0,Archery,2
71,43.0,Athletics,74
72,43.0,Badminton,2
73,43.0,Diving,12
74,43.0,Equestrianism,4
75,43.0,Figure Skating,18
76,43.0,Freestyle Skiing,4
77,43.0,Gymnastics,346
78,43.0,Rhythmic Gymnastics,25
79,43.0,Rowing,8
80,43.0,Shooting,2
81,43.0,Short Track Speed Skating,4
82,43.0,Ski Jumping,1
83,43.0,Snowboarding,2
84,43.0,Swimming,13
85,43.0,Synchronized Swimming,1
86,43.0,Table Tennis,2
87,43.0,Trampolining,1
88,44.0,Archery,1
89,44.0,Athletics,78
90,44.0,Diving,5
91,44.0,Fencing,1
92,44.0,Figure Skating,33
93,44.0,Freestyle Skiing,3
94,44.0,Gymnastics,253
95,44.0,Rhythmic Gymnastics,30
96,44.0,Rowing,8
97,44.0,Shooting,2
98,44.0,Ski Jumping,2
99,44.0,Snowboarding,2
100,44.0,Swimming,21
101,44.0,Triathlon,3
102,45.0,Alpine Skiing,6
