,Age,Sport,count
0,10.0,Gymnastics,1
1,11.0,Figure Skating,7
2,11.0,Gymnastics,1
3,11.0,Rowing,1
4,11.0,Swimming,4
5,12.0,Athletics,2
6,12.0,Diving,1
7,12.0,Figure Skating,8
8,12.0,Gymnastics,3
9,12.0,Rowing,4
10,12.0,Swimming,21
11,13.0,Athletics,2
12,13.0,Diving,9
13,13.0,Figure Skating,11
14,13.0,Freestyle Skiing,1
15,13.0,Gymnastics,36
16,13.0,Rhythmic Gymnastics,1
17,13.0,Rowing,12
18,13.0,Sailing,1
19,13.0,Short Track Speed Skating,1
20,13.0,Speed Skating,2
21,13.0,Swimming,110
22,13.0,Tennis,1
23,14.0,Alpine Skiing,12
24,14.0,Archery,3
25,14.0,Art Competitions,4
26,14.0,Athletics,6
27,14.0,Cycling,2
28,14.0,Diving,24
29,14.0,Fencing,1
30,14.0,Figure Skating,23
31,14.0,Gymnastics,322
32,14.0,Handball,1
33,14.0,Judo,1
34,14.0,Lacrosse,1
35,14.0,Rhythmic Gymnastics,7
36,14.0,Rowing,23
37,14.0,Sailing,1
38,14.0,Short Track Speed Skating,3
39,14.0,Ski Jumping,3
40,14.0,Snowboarding,1
41,14.0,Speed Skating,12
42,14.0,Swimming,384
43,14.0,Tennis,2
44,14.0,Water Polo,1
45,15.0,Alpine Skiing,47
46,15.0,Archery,4
47,15.0,Athletics,49
48,15.0,Bobsleigh,1
49,15.0,Boxing,5
50,15.0,Canoeing,1
51,15.0,Croquet,2
52,15.0,Cross Country Skiing,2
53,15.0,Cycling,2
54,15.0,Diving,52
55,15.0,Fencing,7
56,15.0,Figure Skating,65
57,15.0,Football,5
58,15.0,Freestyle Skiing,5
59,15.0,Golf,1
60,15.0,Gymnastics,918
61,15.0,Handball,1
62,15.0,Hockey,1
63,15.0,Ice Hockey,4
64,15.0,Judo,1
65,15.0,Luge,1
66,15.0,Modern Pentathlon,1
67,15.0,Nordic Combined,1
68,15.0,Rhythmic Gymnastics,39
69,15.0,Rowing,23
70,15.0,Sailing,6
71,15.0,Shooting,2
72,15.0,Short Track Speed Skating,13
73,15.0,Ski Jumping,9
74,15.0,Snowboarding,3
75,15.0,Speed Skating,23
76,15.0,Swimming,882
77,15.0,Synchronized Swimming,8
78,15.0,Table Tennis,5
79,15.0,Tennis,7
80,15.0,Volleyball,2
81,15.0,Water Polo,2
82,15.0,Weightlifting,2
83,15.0,Wrestling,1
84,16.0,Alpine Skiing,135
85,16.0,Archery,13
86,16.0,Athletics,137
87,16.0,Badminton,1
88,16.0,Baseball,1
89,16.0,Basketball,2
90,16.0,Bobsleigh,1
91,16.0,Boxing,16
92,16.0,Canoeing,8
93,16.0,Cross Country Skiing,21
94,16.0,Cycling,27
95,16.0,Diving,78
96,16.0,Equestrianism,2
97,16.0,Fencing,17
98,16.0,Figure Skating,125
99,16.0,Football,9
100,16.0,Freestyle Skiing,13
101,16.0,Gymnastics,1365
102,16.0,Handball,2
103,16.0,Hockey,7
104,16.0,Ice Hockey,16
105,16.0,Judo,11
106,16.0,Luge,11
107,16.0,Modern Pentathlon,6
108,16.0,Nordic Combined,5
109,16.0,Rhythmic Gymnastics,77
110,16.0,Rowing,36
111,16.0,Sailing,16
112,16.0,Shooting,21
113,16.0,Short Track Speed Skating,23
114,16.0,Ski Jumping,41
115,16.0,Snowboarding,9
116,16.0,Speed Skating,32
117,16.0,Swimming,1497
