Sport,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,80.0,81.0,84.0,88.0,96.0,97.0
Aeronautics,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Skiing,,,,,12.0,47.0,135.0,277.0,415.0,601.0,759.0,973.0,849.0,900.0,895.0,701.0,494.0,463.0,366.0,282.0,172.0,145.0,100.0,57.0,34.0,30.0,17.0,2.0,3.0,8.0,3.0,4.0,,1.0,,3.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpinism,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,3.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Archery,,,,,3.0,4.0,13.0,45.0,90.0,115.0,135.0,149.0,135.0,168.0,138.0,124.0,121.0,113.0,94.0,69.0,74.0,60.0,54.0,59.0,55.0,35.0,52.0,38.0,42.0,30.0,31.0,24.0,23.0,21.0,26.0,9.0,12.0,8.0,11.0,1.0,7.0,2.0,5.0,6.0,13.0,5.0,5.0,4.0,3.0,4.0,,5.0,1.0,8.0,,,1.0,,2.0,,,2.0,,,,,,,,,,,,
Art Competitions,,,,,4.0,,,2.0,1.0,1.0,7.0,2.0,19.0,22.0,41.0,25.0,40.0,47.0,43.0,76.0,41.0,48.0,67.0,70.0,56.0,76.0,45.0,112.0,72.0,95.0,71.0,92.0,114.0,91.0,85.0,127.0,73.0,89.0,100.0,113.0,85.0,55.0,77.0,93.0,54.0,53.0,53.0,23.0,50.0,53.0,45.0,42.0,48.0,37.0,23.0,76.0,24.0,22.0,22.0,57.0,25.0,24.0,19.0,8.0,12.0,4.0,7.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0
Athletics,,,2.0,2.0,6.0,49.0,137.0,346.0,743.0,1354.0,2177.0,2866.0,3317.0,3744.0,3597.0,3431.0,3045.0,2747.0,2288.0,1795.0,1545.0,1067.0,915.0,620.0,504.0,362.0,258.0,182.0,137.0,84.0,72.0,35.0,29.0,14.0,14.0,5.0,8.0,2.0,5.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badminton,,,,,,,1.0,4.0,16.0,36.0,55.0,101.0,110.0,118.0,155.0,142.0,157.0,125.0,115.0,82.0,84.0,43.0,41.0,20.0,26.0,11.0,4.0,5.0,2.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball,,,,,,,1.0,,7.0,25.0,42.0,69.0,65.0,72.0,79.0,67.0,68.0,67.0,71.0,48.0,51.0,49.0,24.0,27.0,11.0,19.0,9.0,11.0,4.0,3.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basketball,,,,,,,2.0,10.0,48.0,125.0,210.0,339.0,400.0,416.0,442.0,420.0,369.0,372.0,306.0,249.0,189.0,153.0,100.0,71.0,44.0,40.0,30.0,8.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Pelota,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beach Volleyball,,,,,,,,,1.0,5.0,1.0,8.0,14.0,20.0,25.0,42.0,45.0,50.0,42.0,56.0,51.0,45.0,37.0,29.0,31.0,21.0,17.0,8.0,6.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
