Year,NOC,Sport,count
1896,AUS,Athletics,3
1896,AUS,Tennis,2
1896,AUT,Cycling,4
1896,AUT,Fencing,1
1896,AUT,Swimming,3
1896,DEN,Athletics,4
1896,DEN,Fencing,1
1896,DEN,Gymnastics,1
1896,DEN,Shooting,7
1896,DEN,Weightlifting,2
1896,FRA,Athletics,12
1896,FRA,Cycling,7
1896,FRA,Fencing,4
1896,FRA,Gymnastics,1
1896,FRA,Shooting,1
1896,FRA,Tennis,1
1896,GBR,Athletics,7
1896,GBR,Cycling,5
1896,GBR,Gymnastics,1
1896,GBR,Shooting,5
1896,GBR,Tennis,4
1896,GBR,Weightlifting,2
1896,GBR,Wrestling,1
1896,GER,Athletics,14
1896,GER,Cycling,10
1896,GER,Gymnastics,66
1896,GER,Tennis,2
1896,GER,Weightlifting,1
1896,GER,Wrestling,1
1896,GRE,Athletics,36
1896,GRE,Cycling,15
1896,GRE,Fencing,9
1896,GRE,Gymnastics,12
1896,GRE,Shooting,46
1896,GRE,Swimming,11
1896,GRE,Tennis,13
1896,GRE,Weightlifting,4
1896,GRE,Wrestling,2
1896,HUN,Athletics,5
1896,HUN,Gymnastics,8
1896,HUN,Swimming,2
1896,HUN,Tennis,1
1896,HUN,Weightlifting,1
1896,HUN,Wrestling,1
1896,ITA,Shooting,1
1896,SUI,Gymnastics,7
1896,SUI,Shooting,1
1896,SWE,Athletics,4
1896,SWE,Gymnastics,1
1896,USA,Athletics,21
1896,USA,Shooting,4
1896,USA,Swimming,2
1900,ARG,Fencing,1
1900,AUS,Athletics,4
1900,AUS,Swimming,2
1900,AUT,Athletics,3
1900,AUT,Equestrianism,6
1900,AUT,Fencing,8
1900,AUT,Swimming,9
1900,BEL,Archery,8
1900,BEL,Cycling,1
1900,BEL,Equestrianism,15
1900,BEL,Fencing,6
1900,BEL,Football,9
1900,BEL,Gymnastics,2
1900,BEL,Rowing,11
1900,BEL,Shooting,36
1900,BEL,Swimming,1
1900,BEL,Water Polo,11
1900,BOH,Athletics,5
1900,BOH,Cycling,1
1900,BOH,Gymnastics,1
1900,BOH,Tennis,2
1900,BRA,Athletics,3
1900,CAN,Athletics,7
1900,COL,Tug-Of-War,1
1900,CUB,Fencing,2
1900,DEN,Athletics,6
1900,DEN,Fencing,1
1900,DEN,Shooting,25
1900,DEN,Swimming,1
1900,DEN,Tug-Of-War,3
1900,ESP,Basque Pelota,2
1900,ESP,Equestrianism,1
1900,ESP,Fencing,3
1900,ESP,Rowing,6
1900,FRA,Archery,18
1900,FRA,Athletics,29
1900,FRA,Cricket,3
1900,FRA,Croquet,19
1900,FRA,Cycling,71
1900,FRA,Equestrianism,47
1900,FRA,Fencing,253
1900,FRA,Football,13
1900,FRA,Golf,7
1900,FRA,Gymnastics,108
1900,FRA,Polo,8
1900,FRA,Rowing,59
1900,FRA,Rugby,15
1900,FRA,Sailing,227
1900,FRA,Shooting,62
1900,FRA,Swimming,81
1900,FRA,Tennis,19
1900,FRA,Tug-Of-War,5
1900,FRA,Water Polo,27
1900,GBR,Athletics,19
1900,GBR,Cricket,21
1900,GBR,Cycling,2
1900,GBR,Equestrianism,1
1900,GBR,Fencing,3
1900,GBR,Football,12
1900,GBR,Golf,5
1900,GBR,Gymnastics,4
1900,GBR,Polo,6
1900,GBR,Rowing,1
1900,GBR,Rugby,15
1900,GBR,Sailing,19
1900,GBR,Shooting,1
1900,GBR,Swimming,14
1900,GBR,Tennis,16
1900,GBR,Water Polo,7
1900,GER,Athletics,10
1900,GER,Cycling,5
1900,GER,Equestrianism,1
1900,GER,Fencing,1
1900,GER,Gymnastics,14
1900,GER,Rowing,30
1900,GER,Rugby,15
1900,GER,Sailing,12
1900,GER,Swimming,8
1900,GER,Water Polo,7
1900,GRE,Athletics,3
1900,GRE,Golf,1
1900,HAI,Fencing,3
1900,HAI,Rugby,1
1900,HUN,Athletics,21
1900,HUN,Fencing,8
1900,HUN,Gymnastics,2
1900,HUN,Swimming,3
1900,IND,Athletics,5
1900,IRI,Fencing,1
1900,ITA,Athletics,3
1900,ITA,Cycling,10
1900,ITA,Equestrianism,5
1900,ITA,Fencing,14
1900,ITA,Gymnastics,1
1900,ITA,Swimming,3
1900,LUX,Athletics,1
1900,MEX,Polo,3
1900,NED,Archery,6
1900,NED,Fencing,1
1900,NED,Football,1
1900,NED,Rowing,17
1900,NED,Sailing,9
1900,NED,Shooting,35
1900,NED,Swimming,4
1900,NOR,Athletics,4
1900,NOR,Shooting,25
1900,NZL,Water Polo,1
1900,PER,Fencing,2
1900,ROU,Shooting,1
1900,RUS,Equestrianism,3
1900,RUS,Fencing,2
1900,SUI,Fencing,4
1900,SUI,Gymnastics,3
1900,SUI,Sailing,9
1900,SUI,Shooting,36
1900,SWE,Athletics,20
1900,SWE,Fencing,1
1900,SWE,Swimming,3
1900,SWE,Tug-Of-War,3
1900,USA,Athletics,91
1900,USA,Cycling,2
1900,USA,Fencing,3
1900,USA,Golf,9
1900,USA,Polo,4
1900,USA,Rowing,9
1900,USA,Rugby,1
1900,USA,Sailing,4
1900,USA,Swimming,2
1900,USA,Tennis,10
1904,AUS,Athletics,2
1904,AUS,Swimming,4
1904,AUT,Gymnastics,4
1904,AUT,Swimming,3
1904,CAN,Athletics,10
1904,CAN,Football,13
1904,CAN,Golf,3
1904,CAN,Lacrosse,24
1904,CAN,Rowing,9
1904,CAN,Wrestling,2
1904,CUB,Athletics,1
1904,CUB,Fencing,5
1904,FRA,Athletics,2
1904,GBR,Athletics,3
1904,GBR,Fencing,1
1904,GBR,Golf,2
1904,GER,Athletics,5
1904,GER,Diving,3
1904,GER,Fencing,2
1904,GER,Gymnastics,28
1904,GER,Swimming,9
1904,GER,Tennis,2
1904,GER,Tug-Of-War,1
1904,GER,Weightlifting,2
1904,GER,Wrestling,3
1904,GRE,Athletics,11
1904,GRE,Tug-Of-War,5
1904,GRE,Weightlifting,1
1904,HUN,Athletics,5
1904,HUN,Swimming,4
1904,ITA,Cycling,1
1904,NFL,Athletics,1
1904,NOR,Gymnastics,4
1904,NOR,Wrestling,2
1904,RSA,Athletics,3
1904,RSA,Tug-Of-War,5
1904,SUI,Gymnastics,6
1904,SUI,Wrestling,1
1904,USA,Archery,70
1904,USA,Athletics,158
1904,USA,Boxing,24
1904,USA,Cycling,60
1904,USA,Diving,2
1904,USA,Fencing,20
1904,USA,Football,23
1904,USA,Golf,100
1904,USA,Gymnastics,416
1904,USA,Lacrosse,12
1904,USA,Roque,4
1904,USA,Rowing,37
1904,USA,Swimming,44
1904,USA,Tennis,55
1904,USA,Tug-Of-War,19
1904,USA,Water Polo,21
1904,USA,Weightlifting,4
1904,USA,Wrestling,40
1906,AUS,Athletics,7
1906,AUS,Swimming,3
1906,AUT,Athletics,32
1906,AUT,Cycling,18
1906,AUT,Diving,1
1906,AUT,Fencing,6
1906,AUT,Shooting,15
1906,AUT,Swimming,9
1906,AUT,Tug-Of-War,8
1906,AUT,Weightlifting,2
1906,AUT,Wrestling,9
1906,BEL,Athletics,4
1906,BEL,Cycling,6
1906,BEL,Fencing,11
1906,BEL,Rowing,4
1906,BEL,Shooting,1
1906,BEL,Weightlifting,2
1906,BEL,Wrestling,3
1906,BOH,Athletics,13
1906,BOH,Fencing,1
1906,BOH,Gymnastics,3
1906,BOH,Shooting,5
1906,BOH,Tennis,5
1906,BOH,Wrestling,2
1906,CAN,Athletics,4
1906,CRT,Athletics,10
1906,CRT,Shooting,1
1906,DEN,Athletics,13
1906,DEN,Cycling,2
1906,DEN,Fencing,5
1906,DEN,Football,12
1906,DEN,Gymnastics,18
1906,DEN,Rowing,11
1906,DEN,Swimming,3
1906,DEN,Wrestling,4
1906,EGY,Athletics,2
1906,EGY,Cycling,2
1906,EGY,Wrestling,1
1906,FIN,Athletics,16
1906,FIN,Wrestling,2
1906,FRA,Athletics,23
1906,FRA,Cycling,22
1906,FRA,Fencing,13
1906,FRA,Football,3
1906,FRA,Gymnastics,8
1906,FRA,Rowing,24
1906,FRA,Shooting,66
1906,FRA,Swimming,3
1906,FRA,Tennis,8
1906,FRA,Weightlifting,2
1906,FRA,Wrestling,2
1906,GBR,Athletics,36
1906,GBR,Cycling,20
1906,GBR,Diving,2
1906,GBR,Fencing,7
1906,GBR,Football,8
1906,GBR,Gymnastics,4
1906,GBR,Rowing,1
1906,GBR,Shooting,21
1906,GBR,Swimming,14
1906,GER,Athletics,47
1906,GER,Cycling,27
1906,GER,Diving,4
1906,GER,Fencing,23
1906,GER,Gymnastics,33
1906,GER,Swimming,9
1906,GER,Tug-Of-War,8
1906,GER,Weightlifting,4
1906,GER,Wrestling,2
1906,GRE,Athletics,108
1906,GRE,Cycling,22
1906,GRE,Diving,3
1906,GRE,Fencing,26
