Sport,127.0,128.0,130.0,131.0,132.0,133.0,135.0,136.0,137.0,138.0,139.0,140.0,141.0,142.0,143.0,144.0,145.0,146.0,147.0,148.0,149.0,150.0,151.0,152.0,153.0,154.0,155.0,156.0,157.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,168.0,169.0,170.0,171.0,172.0,173.0,174.0,175.0,176.0,177.0,178.0,179.0,180.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0,192.0,193.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,215.0,216.0,217.0,218.0,219.0,220.0,221.0,223.0,226.0
Alpine Skiing,,,,,,,,,,,,,,5.0,,,,,,,,,,3.0,2.0,5.0,24.0,27.0,18.0,39.0,56.0,130.0,68.0,149.0,172.0,177.0,303.0,94.0,227.0,349.0,169.0,425.0,213.0,325.0,272.0,188.0,333.0,260.0,174.0,349.0,112.0,453.0,147.0,242.0,223.0,192.0,135.0,104.0,40.0,51.0,48.0,33.0,12.0,23.0,13.0,7.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Archery,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,,9.0,8.0,25.0,12.0,15.0,37.0,17.0,49.0,40.0,76.0,88.0,31.0,72.0,115.0,65.0,153.0,77.0,77.0,53.0,57.0,118.0,57.0,23.0,123.0,26.0,109.0,56.0,41.0,70.0,39.0,46.0,32.0,16.0,27.0,21.0,13.0,16.0,,7.0,3.0,6.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Competitions,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,1.0,2.0,,1.0,,1.0,,4.0,,1.0,3.0,3.0,12.0,1.0,2.0,8.0,1.0,,,1.0,3.0,5.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athletics,,,,,,,,,,,,,,1.0,,,5.0,1.0,4.0,12.0,11.0,46.0,9.0,51.0,63.0,48.0,166.0,69.0,173.0,208.0,152.0,579.0,146.0,469.0,593.0,483.0,1081.0,517.0,789.0,1460.0,563.0,1923.0,698.0,1246.0,1270.0,1108.0,1897.0,1141.0,705.0,2000.0,651.0,2154.0,670.0,887.0,1593.0,679.0,1151.0,809.0,643.0,993.0,297.0,739.0,386.0,271.0,324.0,180.0,181.0,184.0,86.0,113.0,34.0,64.0,41.0,34.0,21.0,17.0,7.0,2.0,5.0,4.0,,,,,,,,,,,,,,,
Badminton,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,5.0,4.0,12.0,6.0,11.0,29.0,19.0,28.0,51.0,36.0,50.0,31.0,42.0,48.0,51.0,63.0,63.0,60.0,53.0,47.0,80.0,30.0,36.0,63.0,47.0,72.0,49.0,61.0,56.0,28.0,26.0,21.0,26.0,18.0,15.0,6.0,16.0,12.0,4.0,3.0,1.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
Baseball,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,,,1.0,,5.0,1.0,,1.0,3.0,15.0,8.0,19.0,14.0,11.0,42.0,29.0,34.0,44.0,18.0,83.0,16.0,64.0,61.0,32.0,64.0,40.0,27.0,64.0,16.0,37.0,15.0,24.0,15.0,1.0,15.0,12.0,1.0,5.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9.0,2.0,4.0,24.0,20.0,11.0,21.0,6.0,61.0,8.0,30.0,41.0,30.0,106.0,46.0,34.0,117.0,35.0,180.0,52.0,94.0,168.0,50.0,172.0,80.0,111.0,154.0,45.0,255.0,92.0,126.0,154.0,80.0,152.0,133.0,51.0,156.0,27.0,140.0,64.0,62.0,92.0,74.0,74.0,74.0,36.0,78.0,25.0,46.0,41.0,14.0,43.0,13.0,16.0,12.0,8.0,13.0,1.0,6.0,4.0,4.0,3.0
Beach Volleyball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,1.0,1.0,5.0,3.0,12.0,4.0,10.0,8.0,11.0,16.0,5.0,21.0,20.0,9.0,38.0,23.0,14.0,24.0,18.0,14.0,23.0,7.0,13.0,12.0,37.0,22.0,15.0,31.0,20.0,13.0,15.0,4.0,17.0,7.0,13.0,7.0,7.0,7.0,2.0,1.0,3.0,1.0,1.0,,3.0,,1.0,,,,,,,,,,,
Biathlon,,,,,,,,,,,,,,,,,,,,,,10.0,5.0,9.0,,10.0,3.0,14.0,28.0,53.0,42.0,102.0,74.0,105.0,147.0,106.0,173.0,123.0,117.0,183.0,58.0,248.0,100.0,229.0,229.0,190.0,217.0,148.0,72.0,264.0,140.0,326.0,182.0,167.0,186.0,101.0,123.0,96.0,67.0,62.0,18.0,21.0,19.0,14.0,13.0,23.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
Bobsleigh,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,,1.0,,5.0,2.0,5.0,1.0,2.0,9.0,7.0,12.0,32.0,8.0,51.0,8.0,67.0,75.0,28.0,76.0,37.0,66.0,198.0,56.0,231.0,74.0,174.0,236.0,97.0,126.0,102.0,59.0,130.0,66.0,78.0,31.0,14.0,33.0,10.0,12.0,13.0,8.0,12.0,1.0,6.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,
Boxing,1.0,1.0,2.0,,,1.0,2.0,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,21.0,3.0,13.0,10.0,18.0,32.0,33.0,39.0,43.0,22.0,159.0,48.0,121.0,139.0,108.0,266.0,93.0,167.0,228.0,120.0,340.0,94.0,193.0,191.0,123.0,273.0,129.0,109.0,207.0,86.0,239.0,81.0,101.0,124.0,58.0,117.0,65.0,32.0,71.0,23.0,69.0,20.0,28.0,18.0,13.0,21.0,22.0,3.0,17.0,,6.0,2.0,,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,
