Sport,25.0,28.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,48.5,49.0,49.5,50.0,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,70.0,70.5,71.0,71.5,72.0,72.5,73.0,73.5,74.0,74.5,74.6666666666667,75.0,75.5,76.0,76.5,77.0,77.3333333333333,77.5,78.0,78.5,79.0,79.5,80.0,80.5,81.0,81.5,82.0,82.5,83.0,83.5,84.0,84.5,85.0,85.5,86.0,86.5,87.0,87.5,88.0,88.5,89.0,89.5,90.0,90.5,91.0,91.5,92.0,92.5,93.0,93.5,94.0,95.0,95.5,96.0,96.5,97.0,97.5,98.0,98.5,99.0,100.0,100.5,101.0,101.5,102.0,102.5,103.0,103.5,104.0,104.5,105.0,105.5,106.0,106.5,107.0,107.5,108.0,108.5,109.0,109.5,110.0,111.0,112.0,112.5,113.0,114.0,115.0,116.0,116.5,117.0,117.5,118.0,118.5,119.0,120.0,121.0,121.5,122.0,122.5,123.0,123.5,124.0,125.0,126.0,127.0,127.5,128.0,129.0,129.5,130.0,130.5,131.0,131.5,132.0,133.0,133.5,134.0,135.0,135.5,136.0,137.0,137.5,138.0,138.5,139.0,140.0,141.0,142.0,143.0,144.0,145.0,146.0,146.5,147.0,148.0,149.0,150.0,151.0,152.0,154.0,155.0,156.0,158.0,160.0,161.0,163.0,165.0,167.0,170.0,175.0,176.5,178.0,180.0,182.0,190.0,198.0,214.0
Alpine Skiing,,,,,,,,,,,,,,,,,,6.0,,5.0,7.0,,2.0,,52.0,24.0,,37.0,,65.0,,47.0,,93.0,,84.0,,136.0,,136.0,,127.0,,330.0,,118.0,,196.0,,211.0,,198.0,,285.0,,158.0,,116.0,,256.0,,132.0,,314.0,,83.0,3.0,203.0,,179.0,6.0,92.0,,,257.0,,134.0,,158.0,,,207.0,,81.0,,207.0,,65.0,,206.0,,141.0,,151.0,,212.0,,86.0,,67.0,,124.0,,94.0,,107.0,,62.0,,72.0,,55.0,,33.0,35.0,,15.0,,19.0,,17.0,,,29.0,,,,9.0,,,,1.0,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archery,,,,,,,,,,,,,,,1.0,2.0,1.0,4.0,3.0,1.0,16.0,,10.0,,20.0,22.0,,25.0,,40.0,,22.0,,36.0,,34.0,,41.0,,65.0,,58.0,,87.0,,44.0,,56.0,,84.0,,78.0,,86.0,,22.0,,25.0,,40.0,,32.0,,105.0,4.0,29.0,,62.0,,52.0,,34.0,,,96.0,,46.0,,34.0,,,33.0,,23.0,,60.0,,23.0,,24.0,,30.0,,43.0,,22.0,,21.0,,8.0,,8.0,,20.0,,38.0,,5.0,,19.0,,3.0,,1.0,12.0,,6.0,,,,24.0,,4.0,17.0,,,,2.0,,,,,,3.0,,,,,,,,,,8.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Competitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,1.0,,29.0,,4.0,,,,,,,3.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athletics,,,,,,,,3.0,2.0,,2.0,8.0,38.0,20.0,59.0,74.0,78.0,162.0,146.0,210.0,284.0,,211.0,,586.0,332.0,,626.0,,492.0,,751.0,,839.0,12.0,781.0,,929.0,7.0,1115.0,,791.0,2.0,1439.0,,793.0,,1103.0,2.0,1031.0,,1099.0,,1232.0,,794.0,4.0,796.0,3.0,1186.0,,570.0,2.0,1532.0,,509.0,1.0,947.0,5.0,872.0,3.0,684.0,1.0,,1162.0,,599.0,3.0,615.0,,10.0,635.0,3.0,435.0,3.0,781.0,1.0,317.0,,473.0,4.0,294.0,,312.0,1.0,356.0,1.0,207.0,,106.0,1.0,226.0,,108.0,,266.0,,111.0,4.0,108.0,5.0,119.0,,83.0,191.0,,61.0,1.0,52.0,6.0,76.0,1.0,37.0,161.0,1.0,20.0,,91.0,4.0,30.0,,31.0,,110.0,,52.0,,34.0,1.0,21.0,,31.0,,124.0,22.0,51.0,1.0,26.0,33.0,127.0,23.0,,15.0,,52.0,,14.0,174.0,9.0,,18.0,3.0,26.0,,8.0,91.0,16.0,17.0,,23.0,13.0,,56.0,,5.0,,13.0,2.0,,7.0,14.0,,12.0,3.0,,7.0,,5.0,25.0,,8.0,1.0,2.0,6.0,,,3.0,1.0,1.0,5.0,,,2.0,2.0,,1.0,1.0,,,4.0,,,,,,,,,,
Badminton,,,,,,,,,,,,,,,,2.0,,,,4.0,3.0,,,,4.0,9.0,,9.0,,7.0,,11.0,,59.0,,35.0,,29.0,,62.0,,52.0,,58.0,,43.0,,49.0,,36.0,,38.0,,105.0,,28.0,,25.0,,75.0,,17.0,3.0,71.0,,29.0,,43.0,,50.0,,30.0,,,53.0,,31.0,,27.0,,,48.0,,35.0,,52.0,,13.0,,17.0,,20.0,,12.0,,18.0,,18.0,,7.0,,8.0,,3.0,,2.0,,2.0,,3.0,,4.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,3.0,,4.0,,1.0,,8.0,,7.0,,2.0,,10.0,,1.0,,13.0,,8.0,,17.0,,,40.0,,13.0,,29.0,,,35.0,,18.0,,60.0,,13.0,,33.0,,19.0,,39.0,,57.0,1.0,61.0,,12.0,,30.0,,10.0,,56.0,,24.0,,16.0,,32.0,,19.0,37.0,,6.0,,6.0,,21.0,,4.0,25.0,,4.0,,11.0,,2.0,,5.0,,4.0,,3.0,,8.0,,5.0,,1.0,,6.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basketball,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,3.0,,2.0,,1.0,,1.0,,9.0,,20.0,,7.0,,40.0,,35.0,,37.0,,36.0,,35.0,,60.0,,28.0,,43.0,,74.0,,47.0,,100.0,,24.0,,88.0,,91.0,,60.0,,,128.0,,60.0,,73.0,,,116.0,1.0,90.0,,172.0,,59.0,,112.0,,82.0,,93.0,,137.0,,94.0,,57.0,,91.0,,79.0,,124.0,,66.0,,94.0,,51.0,,64.0,120.0,,69.0,,33.0,,67.0,,19.0,109.0,,14.0,,63.0,,20.0,,28.0,,73.0,,24.0,,30.0,1.0,36.0,,20.0,,64.0,13.0,15.0,,17.0,10.0,47.0,3.0,,16.0,,13.0,,,19.0,1.0,,11.0,,,,,6.0,1.0,,,2.0,,,6.0,,,,1.0,,,,4.0,,,4.0,,,,,4.0,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Beach Volleyball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,3.0,,2.0,,1.0,,5.0,,7.0,,4.0,,12.0,,2.0,,17.0,,19.0,,12.0,,16.0,,34.0,,10.0,,24.0,,9.0,,22.0,,22.0,,4.0,,,16.0,,8.0,,7.0,,,8.0,,3.0,,10.0,,10.0,,9.0,,8.0,,5.0,,21.0,,19.0,,15.0,,28.0,,16.0,,18.0,,8.0,,22.0,,13.0,,5.0,20.0,,,,6.0,,6.0,,2.0,5.0,,4.0,,5.0,,1.0,,,,1.0,,3.0,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biathlon,,,,,,,,,,,,,,,,,,4.0,,6.0,15.0,,33.0,,64.0,69.0,,183.0,,91.0,,108.0,,177.0,,130.0,,114.0,,156.0,,114.0,,219.0,,90.0,5.0,122.0,,86.0,,85.0,,191.0,,140.0,,106.0,2.0,156.0,,116.0,2.0,274.0,10.0,80.0,,281.0,,168.0,,137.0,1.0,,207.0,,125.0,,104.0,,,154.0,,82.0,,152.0,,40.0,,78.0,,44.0,,23.0,,23.0,,,,2.0,,4.0,,,,18.0,,8.0,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobsleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,4.0,,4.0,,3.0,,8.0,,4.0,,15.0,,3.0,,9.0,,17.0,,5.0,,45.0,,9.0,,24.0,,34.0,,12.0,,,53.0,,18.0,,28.0,,,47.0,,22.0,,84.0,,37.0,,78.0,,51.0,,58.0,,96.0,,112.0,,49.0,,67.0,,65.0,,146.0,,52.0,,76.0,,90.0,,52.0,128.0,,46.0,,40.0,1.0,99.0,,34.0,101.0,,13.0,,57.0,,33.0,,28.0,,42.0,,9.0,,28.0,,11.0,,2.0,,23.0,3.0,,,5.0,5.0,7.0,7.0,,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxing,,,,,,,,,,,,,,,,,,,3.0,13.0,258.0,,48.0,,40.0,355.0,,59.0,2.0,29.0,,362.0,6.0,21.0,,73.0,,365.0,,17.0,,28.0,2.0,421.0,,20.0,,33.0,,189.0,,243.0,,34.0,2.0,37.0,2.0,267.0,,19.0,2.0,119.0,2.0,46.0,,237.0,,24.0,1.0,19.0,,30.0,,,317.0,,11.0,2.0,14.0,,,16.0,1.0,15.0,2.0,43.0,,287.0,1.0,10.0,1.0,9.0,,10.0,,9.0,,9.0,,7.0,,7.0,,9.0,,25.0,,161.0,,11.0,1.0,12.0,,11.0,19.0,,8.0,,6.0,,8.0,,9.0,12.0,,8.0,3.0,5.0,,5.0,,5.0,,5.0,,2.0,,4.0,,4.0,,1.0,,5.0,3.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canoeing,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,3.0,1.0,,7.0,,5.0,,14.0,,27.0,,31.0,,21.0,,55.0,,50.0,,106.0,2.0,51.0,,90.0,,129.0,,112.0,,151.0,,98.0,,136.0,,165.0,,136.0,,270.0,,100.0,,203.0,,202.0,2.0,138.0,4.0,,252.0,1.0,116.0,,162.0,,,249.0,,133.0,,355.0,3.0,113.0,,245.0,,164.0,,159.0,,259.0,,167.0,3.0,107.0,,145.0,,67.0,7.0,175.0,,51.0,,84.0,,57.0,,27.0,62.0,,16.0,,10.0,,12.0,,1.0,18.0,,,,2.0,,,,,,3.0,,,,,,,,1.0,,5.0,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Country Skiing,,,,,,,,,,,,,,,2.0,,,26.0,3.0,,30.0,,33.0,3.0,96.0,79.0,,176.0,9.0,194.0,4.0,231.0,9.0,293.0,11.0,223.0,,230.0,,364.0,,158.0,11.0,356.0,,162.0,6.0,196.0,,195.0,4.0,241.0,,281.0,4.0,149.0,3.0,206.0,,392.0,19.0,184.0,2.0,517.0,,162.0,,351.0,,301.0,,264.0,,,270.0,,146.0,1.0,138.0,,,176.0,,131.0,,139.0,,66.0,,89.0,,55.0,,33.0,,37.0,,23.0,,17.0,,,,2.0,,6.0,,10.0,,,,,,,1.0,,,,3.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curling,,,,,,,,,,,,,,,,,,3.0,,2.0,,,3.0,,2.0,4.0,,5.0,,6.0,,2.0,,7.0,,3.0,,11.0,,13.0,,8.0,,14.0,,12.0,,11.0,,13.0,,8.0,,7.0,,12.0,,5.0,,23.0,,7.0,,13.0,,6.0,,16.0,,7.0,,7.0,,,14.0,,11.0,,9.0,,,6.0,,13.0,,12.0,,9.0,,11.0,,10.0,,15.0,,16.0,,9.0,,,,3.0,,6.0,,9.0,,6.0,,,,2.0,,3.0,10.0,,,,,,,,,2.0,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycling,,,,,,,,,,,,,,,,,,7.0,5.0,7.0,33.0,,11.0,,84.0,50.0,,74.0,,50.0,,102.0,,90.0,,95.0,,105.0,,142.0,,110.0,,254.0,,128.0,,181.0,,221.0,,206.0,,379.0,,221.0,,299.0,4.0,412.0,,311.0,,584.0,,283.0,,381.0,,325.0,,269.0,,,395.0,,229.0,8.0,239.0,,,255.0,,186.0,4.0,232.0,,107.0,,157.0,,90.0,,35.0,,100.0,,40.0,,49.0,,41.0,,14.0,,81.0,,9.0,,38.0,,26.0,,14.0,22.0,,15.0,,3.0,,4.0,,,6.0,,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diving,,2.0,,,2.0,,,,1.0,1.0,1.0,2.0,3.0,,8.0,12.0,5.0,24.0,13.0,33.0,65.0,,51.0,,102.0,55.0,,96.0,,55.0,,77.0,,88.0,,71.0,,74.0,,55.0,,42.0,,112.0,,41.0,,95.0,,50.0,,42.0,3.0,109.0,,45.0,,46.0,,119.0,,24.0,,67.0,,22.0,,40.0,,58.0,,53.0,2.0,,41.0,,25.0,,24.0,,,21.0,,8.0,,16.0,,,,4.0,,,,,,,,,,1.0,,1.0,,,,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equestrianism,,,,,,,,,,,,,,,,4.0,,10.0,5.0,6.0,30.0,,12.0,,65.0,17.0,,57.0,,16.0,,72.0,,85.0,,96.0,2.0,102.0,,109.0,,70.0,,225.0,,56.0,,114.0,,195.0,,137.0,,266.0,,193.0,,141.0,,292.0,,132.0,,393.0,7.0,110.0,,237.0,,205.0,,110.0,,,217.0,,117.0,,78.0,,,132.0,,55.0,,109.0,,22.0,,37.0,,33.0,,12.0,,58.0,,36.0,,35.0,,22.0,,4.0,,9.0,,,,2.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
