,Height,Sport,count
0,127.0,Boxing,1
1,127.0,Gymnastics,6
2,128.0,Boxing,1
3,130.0,Boxing,2
4,131.0,Swimming,2
5,132.0,Gymnastics,6
6,132.0,Rowing,1
7,132.0,Shooting,2
8,133.0,Boxing,1
9,133.0,Gymnastics,5
10,135.0,Boxing,2
11,135.0,Gymnastics,12
12,136.0,Cycling,1
13,136.0,Gymnastics,27
14,137.0,Diving,2
15,137.0,Figure Skating,2
16,137.0,Gymnastics,11
17,137.0,Rowing,1
18,137.0,Wrestling,2
19,138.0,Cycling,3
20,138.0,Gymnastics,15
21,138.0,Hockey,1
22,138.0,Swimming,1
23,139.0,Gymnastics,43
24,139.0,Swimming,5
25,140.0,Boxing,1
26,140.0,Football,1
27,140.0,Gymnastics,50
28,140.0,Handball,1
29,140.0,Rowing,1
30,140.0,Swimming,2
31,140.0,Weightlifting,2
32,140.0,Wrestling,2
33,141.0,Gymnastics,24
34,141.0,Weightlifting,1
35,142.0,Alpine Skiing,5
36,142.0,Athletics,1
37,142.0,Boxing,1
38,142.0,Diving,5
39,142.0,Figure Skating,1
40,142.0,Gymnastics,100
41,142.0,Rhythmic Gymnastics,1
42,142.0,Rowing,1
43,142.0,Swimming,4
44,142.0,Weightlifting,2
45,143.0,Boxing,1
46,143.0,Figure Skating,2
47,143.0,Gymnastics,72
48,143.0,Judo,1
49,143.0,Swimming,1
50,144.0,Gymnastics,97
51,144.0,Weightlifting,2
52,145.0,Athletics,5
53,145.0,Boxing,1
54,145.0,Figure Skating,2
55,145.0,Gymnastics,142
56,145.0,Judo,1
57,145.0,Swimming,1
58,145.0,Table Tennis,1
59,145.0,Weightlifting,10
60,145.0,Wrestling,1
61,146.0,Athletics,1
62,146.0,Cycling,1
63,146.0,Figure Skating,2
64,146.0,Gymnastics,137
65,146.0,Judo,5
66,146.0,Rowing,5
67,146.0,Shooting,1
68,146.0,Swimming,2
69,146.0,Table Tennis,1
70,147.0,Athletics,4
71,147.0,Baseball,1
72,147.0,Boxing,1
73,147.0,Diving,9
74,147.0,Figure Skating,2
75,147.0,Gymnastics,161
76,147.0,Hockey,1
77,147.0,Judo,1
78,147.0,Rowing,3
79,147.0,Shooting,2
80,147.0,Swimming,4
81,147.0,Weightlifting,13
82,147.0,Wrestling,8
83,148.0,Athletics,12
84,148.0,Boxing,1
85,148.0,Curling,1
86,148.0,Cycling,1
87,148.0,Diving,4
88,148.0,Equestrianism,2
89,148.0,Figure Skating,10
90,148.0,Gymnastics,159
91,148.0,Judo,1
92,148.0,Rowing,2
93,148.0,Weightlifting,12
94,148.0,Wrestling,1
95,149.0,Athletics,11
96,149.0,Cycling,1
97,149.0,Diving,6
98,149.0,Figure Skating,5
99,149.0,Freestyle Skiing,1
100,149.0,Gymnastics,136
101,149.0,Rowing,1
102,149.0,Shooting,4
103,149.0,Speed Skating,2
104,149.0,Table Tennis,2
105,149.0,Weightlifting,16
106,149.0,Wrestling,2
107,150.0,Art Competitions,4
108,150.0,Athletics,46
109,150.0,Badminton,2
110,150.0,Biathlon,10
111,150.0,Boxing,21
112,150.0,Cross Country Skiing,3
113,150.0,Cycling,9
114,150.0,Diving,16
115,150.0,Equestrianism,2
116,150.0,Figure Skating,30
117,150.0,Football,3
118,150.0,Freestyle Skiing,2
119,150.0,Gymnastics,368
120,150.0,Hockey,7
121,150.0,Ice Hockey,1
122,150.0,Judo,20
123,150.0,Rhythmic Gymnastics,1
124,150.0,Rowing,15
125,150.0,Sailing,3
126,150.0,Shooting,4
127,150.0,Short Track Speed Skating,3
128,150.0,Snowboarding,1
129,150.0,Softball,1
130,150.0,Swimming,16
131,150.0,Table Tennis,10
132,150.0,Taekwondo,1
133,150.0,Tennis,1
134,150.0,Weightlifting,68
135,150.0,Wrestling,20
136,151.0,Athletics,9
137,151.0,Biathlon,5
138,151.0,Boxing,3
139,151.0,Canoeing,1
140,151.0,Cross Country Skiing,8
141,151.0,Diving,6
142,151.0,Equestrianism,3
143,151.0,Figure Skating,1
144,151.0,Gymnastics,151
145,151.0,Judo,4
146,151.0,Rowing,4
147,151.0,Sailing,1
148,151.0,Shooting,13
149,151.0,Speed Skating,1
150,151.0,Swimming,5
151,151.0,Table Tennis,2
152,151.0,Weightlifting,14
153,151.0,Wrestling,5
154,152.0,Alpine Skiing,3
155,152.0,Archery,6
156,152.0,Athletics,51
157,152.0,Biathlon,9
158,152.0,Boxing,13
159,152.0,Cross Country Skiing,2
160,152.0,Curling,1
161,152.0,Diving,28
162,152.0,Equestrianism,20
163,152.0,Fencing,21
164,152.0,Figure Skating,43
165,152.0,Football,4
166,152.0,Freestyle Skiing,3
167,152.0,Gymnastics,453
168,152.0,Hockey,21
169,152.0,Ice Hockey,2
170,152.0,Judo,5
171,152.0,Modern Pentathlon,1
172,152.0,Rowing,14
173,152.0,Sailing,2
174,152.0,Shooting,19
175,152.0,Short Track Speed Skating,4
176,152.0,Ski Jumping,2
177,152.0,Speed Skating,8
178,152.0,Swimming,22
179,152.0,Table Tennis,11
180,152.0,Taekwondo,1
181,152.0,Weightlifting,47
182,152.0,Wrestling,23
183,153.0,Alpine Skiing,2
184,153.0,Archery,8
185,153.0,Athletics,63
186,153.0,Baseball,1
187,153.0,Bobsleigh,1
188,153.0,Boxing,10
189,153.0,Canoeing,5
190,153.0,Cross Country Skiing,7
191,153.0,Curling,3
192,153.0,Cycling,1
193,153.0,Diving,19
194,153.0,Equestrianism,3
195,153.0,Fencing,8
196,153.0,Figure Skating,23
197,153.0,Football,7
198,153.0,Freestyle Skiing,7
199,153.0,Gymnastics,352
200,153.0,Handball,1
201,153.0,Hockey,7
202,153.0,Ice Hockey,2
203,153.0,Judo,13
204,153.0,Luge,2
205,153.0,Rhythmic Gymnastics,2
206,153.0,Rowing,6
207,153.0,Rugby Sevens,1
208,153.0,Shooting,13
209,153.0,Short Track Speed Skating,8
210,153.0,Ski Jumping,1
211,153.0,Snowboarding,2
212,153.0,Speed Skating,23
213,153.0,Swimming,18
214,153.0,Synchronized Swimming,1
215,153.0,Table Tennis,3
216,153.0,Triathlon,1
217,153.0,Volleyball,2
218,153.0,Weightlifting,28
219,153.0,Wrestling,25
220,154.0,Alpine Skiing,5
221,154.0,Athletics,48
222,154.0,Badminton,1
223,154.0,Biathlon,10
224,154.0,Boxing,18
225,154.0,Canoeing,3
226,154.0,Cross Country Skiing,16
227,154.0,Curling,2
228,154.0,Cycling,6
229,154.0,Diving,20
230,154.0,Equestrianism,3
231,154.0,Fencing,3
232,154.0,Figure Skating,18
233,154.0,Football,4
234,154.0,Freestyle Skiing,1
235,154.0,Gymnastics,325
236,154.0,Hockey,5
237,154.0,Ice Hockey,1
238,154.0,Judo,18
239,154.0,Rhythmic Gymnastics,1
240,154.0,Rowing,13
241,154.0,Rugby Sevens,2
242,154.0,Sailing,3
243,154.0,Shooting,36
244,154.0,Short Track Speed Skating,10
245,154.0,Snowboarding,5
246,154.0,Softball,1
247,154.0,Speed Skating,7
248,154.0,Swimming,23
249,154.0,Synchronized Swimming,2
250,154.0,Table Tennis,7
251,154.0,Taekwondo,2
252,154.0,Tennis,2
253,154.0,Trampolining,3
254,154.0,Triathlon,1
