,Year,Height,Sport,count
0,1896,154.0,Athletics,1
1,1896,159.0,Athletics,3
2,1896,159.0,Gymnastics,7
3,1896,159.0,Weightlifting,1
4,1896,159.0,Wrestling,1
5,1896,167.0,Athletics,5
6,1896,167.0,Gymnastics,1
7,1896,170.0,Athletics,1
8,1896,171.0,Athletics,2
9,1896,173.0,Athletics,1
10,1896,175.0,Athletics,3
11,1896,176.0,Athletics,2
12,1896,179.0,Athletics,3
13,1896,180.0,Athletics,3
14,1896,183.0,Athletics,2
15,1896,185.0,Athletics,1
16,1896,188.0,Athletics,5
17,1896,188.0,Gymnastics,1
18,1896,188.0,Weightlifting,2
19,1896,188.0,Wrestling,1
20,1900,153.0,Gymnastics,1
21,1900,160.0,Athletics,2
22,1900,163.0,Gymnastics,1
23,1900,164.0,Rugby,1
24,1900,166.0,Athletics,1
25,1900,166.0,Equestrianism,2
26,1900,167.0,Athletics,3
27,1900,167.0,Fencing,1
28,1900,167.0,Golf,1
29,1900,168.0,Athletics,2
30,1900,168.0,Fencing,3
31,1900,168.0,Shooting,7
32,1900,169.0,Athletics,5
33,1900,170.0,Athletics,3
34,1900,170.0,Fencing,2
35,1900,170.0,Shooting,7
36,1900,171.0,Swimming,3
37,1900,172.0,Athletics,1
38,1900,172.0,Cycling,2
39,1900,175.0,Athletics,3
40,1900,175.0,Fencing,1
41,1900,175.0,Gymnastics,1
42,1900,176.0,Gymnastics,1
43,1900,178.0,Athletics,6
44,1900,178.0,Fencing,1
45,1900,178.0,Golf,1
46,1900,178.0,Polo,1
47,1900,178.0,Tennis,3
48,1900,179.0,Athletics,1
49,1900,180.0,Athletics,2
50,1900,180.0,Rugby,2
51,1900,181.0,Golf,1
52,1900,181.0,Tennis,3
53,1900,182.0,Athletics,1
54,1900,182.0,Swimming,3
55,1900,183.0,Athletics,11
56,1900,185.0,Athletics,6
57,1900,185.0,Swimming,3
58,1900,185.0,Water Polo,1
59,1900,187.0,Swimming,3
60,1900,188.0,Athletics,4
61,1900,190.0,Athletics,6
