,Year,Weight,Sport,count
0,1896,45.0,Athletics,1
1,1896,56.0,Athletics,5
2,1896,56.0,Gymnastics,1
3,1896,62.0,Gymnastics,6
4,1896,64.0,Athletics,2
5,1896,66.0,Athletics,4
6,1896,69.0,Athletics,2
7,1896,70.0,Athletics,3
8,1896,70.0,Gymnastics,7
9,1896,70.0,Weightlifting,1
10,1896,70.0,Wrestling,1
11,1896,72.0,Athletics,3
12,1896,73.0,Athletics,3
13,1896,81.0,Athletics,4
14,1896,102.0,Athletics,1
15,1896,102.0,Gymnastics,1
16,1896,102.0,Weightlifting,2
17,1896,102.0,Wrestling,1
18,1896,106.0,Athletics,1
19,1900,51.0,Athletics,2
20,1900,51.0,Rowing,1
21,1900,58.0,Athletics,3
22,1900,59.0,Athletics,1
23,1900,60.0,Rowing,3
24,1900,61.0,Gymnastics,1
25,1900,62.0,Athletics,2
26,1900,62.0,Gymnastics,2
27,1900,64.0,Athletics,6
28,1900,65.0,Athletics,3
29,1900,66.0,Athletics,1
30,1900,67.0,Fencing,1
31,1900,68.0,Athletics,2
32,1900,70.0,Athletics,2
33,1900,70.0,Rugby,1
34,1900,71.0,Athletics,4
35,1900,71.0,Gymnastics,1
36,1900,71.0,Rugby,1
37,1900,72.0,Athletics,1
38,1900,73.0,Athletics,1
39,1900,74.0,Athletics,2
40,1900,74.0,Rugby,1
41,1900,75.0,Athletics,5
42,1900,78.0,Rowing,1
43,1900,79.0,Athletics,3
44,1900,81.0,Athletics,3
45,1900,83.0,Fencing,1
46,1900,83.0,Rowing,1
47,1900,83.0,Swimming,3
48,1900,86.0,Athletics,2
49,1900,87.0,Athletics,2
50,1900,88.0,Athletics,6
51,1900,90.0,Athletics,3
52,1900,95.0,Athletics,2
53,1900,95.0,Swimming,3
54,1900,95.0,Water Polo,1
55,1900,102.0,Athletics,1
56,1904,43.0,Athletics,1
57,1904,47.0,Boxing,2
58,1904,49.0,Boxing,1
59,1904,51.0,Athletics,3
60,1904,52.0,Boxing,2
61,1904,54.0,Athletics,1
62,1904,54.0,Wrestling,1
63,1904,57.0,Athletics,3
64,1904,57.0,Boxing,1
65,1904,58.0,Athletics,1
