,"(1896, '1')","(1896, '2')","(1896, '3')","(1900, '1')","(1900, '2')","(1900, '3')","(1904, '1')","(1904, '2')","(1904, '3')","(1906, '1')","(1906, '2')","(1906, '3')","(1908, '1')","(1908, '2')","(1908, '3')","(1912, '1')","(1912, '2')","(1912, '3')","(1920, '1')","(1920, '2')","(1920, '3')","(1924, '1')","(1924, '2')","(1924, '3')","(1928, '1')","(1928, '2')","(1928, '3')","(1932, '1')","(1932, '2')","(1932, '3')","(1936, '1')","(1936, '2')","(1936, '3')","(1948, '1')","(1948, '2')","(1948, '3')","(1952, '1')","(1952, '2')","(1952, '3')","(1956, '1')","(1956, '2')","(1956, '3')","(1960, '1')","(1960, '2')","(1960, '3')","(1964, '1')","(1964, '2')","(1964, '3')","(1968, '1')","(1968, '2')","(1968, '3')","(1972, '1')","(1972, '2')","(1972, '3')","(1976, '1')","(1976, '2')","(1976, '3')","(1980, '1')","(1980, '2')","(1980, '3')","(1984, '1')","(1984, '2')","(1984, '3')","(1988, '1')","(1988, '2')","(1988, '3')","(1992, '1')","(1992, '2')","(1992, '3')","(1994, '1')","(1994, '2')","(1994, '3')","(1996, '1')","(1996, '2')","(1996, '3')","(1998, '1')","(1998, '2')","(1998, '3')","(2000, '1')","(2000, '2')","(2000, '3')","(2002, '1')","(2002, '2')","(2002, '3')","(2004, '1')","(2004, '2')","(2004, '3')","(2006, '1')","(2006, '2')","(2006, '3')","(2008, '1')","(2008, '2')","(2008, '3')","(2010, '1')","(2010, '2')","(2010, '3')","(2012, '1')","(2012, '2')","(2012, '3')","(2014, '1')","(2014, '2')","(2014, '3')","(2016, '1')","(2016, '2')","(2016, '3')"
0,AUS,Athletics,3,ARG,Fencing,1,AUS,Athletics,2,AUS,Athletics,7,ANZ,Athletics,15,ANZ,Athletics,7,ARG,Boxing,1,ARG,Athletics,16,ARG,Athletics,12,ARG,Art Competitions,2,AFG,Athletics,3,AFG,Football,11,AHO,Football,11,AFG,Hockey,12,AFG,Athletics,9,AFG,Wrestling,8,AFG,Wrestling,5,AFG,Wrestling,8,AHO,Athletics,2,AFG,Boxing,3,AHO,Athletics,4,AFG,Wrestling,5,AHO,Athletics,1,AND,Alpine Skiing,13,AFG,Athletics,2,AND,Alpine Skiing,7,AHO,Athletics,2,AND,Alpine Skiing,5,AFG,Athletics,2,ALB,Alpine Skiing,3,AFG,Athletics,2,ALB,Alpine Skiing,2,AFG,Athletics,2,ALB,Alpine Skiing,2,AFG,Athletics,2
1,AUS,Tennis,2,AUS,Athletics,4,AUS,Swimming,4,AUS,Swimming,3,ANZ,Boxing,1,ANZ,Rowing,10,AUS,Athletics,8,ARG,Boxing,10,ARG,Bobsleigh,10,ARG,Athletics,18,AFG,Hockey,13,AFG,Hockey,14,ARG,Alpine Skiing,17,ARG,Athletics,2,AFG,Wrestling,7,AHO,Fencing,1,AHO,Fencing,3,AHO,Shooting,1,AHO,Judo,2,AFG,Wrestling,8,AHO,Swimming,5,AHO,Bobsleigh,2,AHO,Bobsleigh,2,ARG,Alpine Skiing,18,AHO,Athletics,1,ARG,Alpine Skiing,5,AHO,Equestrianism,1,ARG,Alpine Skiing,18,AFG,Boxing,1,ALG,Alpine Skiing,2,AFG,Taekwondo,2,ALG,Cross Country Skiing,1,AFG,Boxing,1,AND,Alpine Skiing,9,AFG,Judo,1
2,AUT,Cycling,4,AUS,Swimming,2,AUT,Gymnastics,4,AUT,Athletics,32,ANZ,Diving,1,ANZ,Swimming,20,AUS,Cycling,3,ARG,Cycling,14,ARG,Boxing,8,ARG,Boxing,8,ARG,Athletics,17,ARG,Alpine Skiing,14,ARG,Athletics,30,ARG,Boxing,10,AHO,Weightlifting,5,AHO,Weightlifting,3,AHO,Weightlifting,2,AHO,Weightlifting,1,AND,Alpine Skiing,11,ALG,Athletics,13,AHO,Synchronized Swimming,4,AHO,Luge,1,AHO,Sailing,2,ARG,Biathlon,2,AHO,Judo,1,ARG,Snowboarding,1,AHO,Sailing,1,ARG,Biathlon,4,AFG,Judo,1,ALG,Cross Country Skiing,1,AHO,Athletics,2,AND,Alpine Skiing,15,AFG,Judo,1,AND,Biathlon,2,ALB,Athletics,2
3,AUT,Fencing,1,AUT,Athletics,3,AUT,Swimming,3,AUT,Cycling,18,ANZ,Rugby,15,ANZ,Tennis,1,AUS,Diving,1,ARG,Fencing,24,ARG,Cycling,10,ARG,Fencing,9,ARG,Boxing,8,ARG,Athletics,38,ARG,Basketball,14,ARG,Equestrianism,13,ARG,Alpine Skiing,12,ALG,Gymnastics,7,ALG,Boxing,2,ALB,Shooting,4,AND,Boxing,1,ALG,Boxing,2,ALG,Athletics,9,AHO,Sailing,1,AHO,Shooting,1,ARM,Bobsleigh,2,AHO,Sailing,2,ARM,Alpine Skiing,1,AHO,Shooting,1,ARG,Freestyle Skiing,1,AFG,Wrestling,1,AND,Alpine Skiing,7,AHO,Shooting,1,AND,Cross Country Skiing,4,AFG,Taekwondo,2,AND,Snowboarding,1,ALB,Swimming,2
4,AUT,Swimming,3,AUT,Equestrianism,6,CAN,Athletics,10,AUT,Diving,1,ANZ,Shooting,3,AUT,Athletics,27,AUS,Swimming,16,ARG,Polo,5,ARG,Equestrianism,6,ARG,Shooting,2,ARG,Fencing,19,ARG,Basketball,14,ARG,Bobsleigh,4,ARG,Fencing,2,ARG,Athletics,4,ARG,Alpine Skiing,12,ALG,Gymnastics,7,ALB,Weightlifting,1,AND,Shooting,2,ALG,Fencing,1,ALG,Boxing,7,AHO,Shooting,1,ALB,Athletics,1,ASA,Bobsleigh,2,AHO,Shooting,2,ARM,Cross Country Skiing,1,AHO,Swimming,2,ARG,Luge,2,AHO,Athletics,2,AND,Cross Country Skiing,3,AHO,Swimming,1,AND,Snowboarding,1,ALB,Athletics,1,ARG,Alpine Skiing,19,ALB,Weightlifting,2
5,DEN,Athletics,4,AUT,Fencing,8,CAN,Football,13,AUT,Fencing,6,ANZ,Swimming,13,AUT,Cycling,12,AUS,Tennis,1,ARG,Rowing,9,ARG,Fencing,9,ARG,Swimming,7,ARG,Polo,4,ARG,Bobsleigh,6,ARG,Boxing,10,ARG,Modern Pentathlon,1,ARG,Boxing,10,ARG,Athletics,12,ARG,Alpine Skiing,12,ALG,Athletics,6,ANT,Athletics,14,ALG,Football,14,ALG,Handball,15,AHO,Swimming,2,ALB,Shooting,2,AUS,Alpine Skiing,5,AHO,Swimming,1,ARM,Figure Skating,4,AHO,Triathlon,1,ARG,Skeleton,1,AHO,Equestrianism,1,ARG,Alpine Skiing,12,ALB,Athletics,2,ARG,Alpine Skiing,18,ALB,Judo,1,ARG,Cross Country Skiing,1,ALG,Athletics,16
6,DEN,Fencing,1,AUT,Swimming,9,CAN,Golf,3,AUT,Shooting,15,ARG,Figure Skating,1,AUT,Diving,1,BEL,Archery,51,ARG,Sailing,6,ARG,Football,16,ARG,Weightlifting,1,ARG,Rowing,3,ARG,Boxing,8,ARG,Cycling,6,ARG,Sailing,6,ARG,Cross Country Skiing,2,ARG,Bobsleigh,9,ARG,Athletics,9,ALG,Boxing,1,ANT,Cycling,3,ALG,Handball,14,ALG,Weightlifting,2,ALG,Athletics,15,ALB,Swimming,3,AUS,Biathlon,4,ALB,Athletics,2,ARM,Freestyle Skiing,1,ALB,Athletics,2,ARM,Alpine Skiing,3,ALB,Athletics,2,ARG,Biathlon,2,ALB,Judo,1,ARG,Cross Country Skiing,1,ALB,Shooting,2,ARM,Alpine Skiing,2,ALG,Boxing,8
7,DEN,Gymnastics,1,BEL,Archery,8,CAN,Lacrosse,24,AUT,Swimming,9,AUT,Athletics,4,AUT,Fencing,21,BEL,Art Competitions,6,ARG,Shooting,8,ARG,Rowing,9,AUS,Art Competitions,2,ARG,Sailing,11,ARG,Cycling,16,ARG,Equestrianism,12,ARG,Shooting,4,ARG,Cycling,9,ARG,Boxing,10,ARG,Boxing,7,ARG,Alpine Skiing,6,ARG,Alpine Skiing,12,ALG,Judo,3,AND,Alpine Skiing,6,ALG,Boxing,6,ALB,Weightlifting,3,AUS,Bobsleigh,6,ALB,Cycling,1,AUS,Alpine Skiing,1,ALB,Shooting,2,ARM,Bobsleigh,2,ALB,Swimming,2,ARG,Cross Country Skiing,1,ALB,Shooting,2,ARG,Luge,1,ALB,Swimming,2,ARM,Cross Country Skiing,4,ALG,Cycling,2
8,DEN,Shooting,7,BEL,Cycling,1,CAN,Rowing,9,AUT,Tug-Of-War,8,AUT,Fencing,1,AUT,Football,15,BEL,Athletics,78,ARG,Swimming,6,ARG,Sailing,5,AUS,Athletics,5,ARG,Shooting,5,ARG,Equestrianism,18,ARG,Fencing,20,ARG,Weightlifting,2,ARG,Diving,1,ARG,Cycling,14,ARG,Cycling,16,ARG,Athletics,10,ARG,Athletics,2,ALG,Swimming,10,AND,Shooting,2,ALG,Cycling,2,ALG,Alpine Skiing,8,AUS,Cross Country Skiing,7,ALB,Shooting,4,AUS,Biathlon,2,ALB,Weightlifting,1,ARM,Cross Country Skiing,9,ALB,Weightlifting,2,ARG,Freestyle Skiing,1,ALB,Swimming,2,ARM,Alpine Skiing,4,ALB,Weightlifting,4,AUS,Alpine Skiing,13,ALG,Fencing,2
9,DEN,Weightlifting,2,BEL,Equestrianism,15,CAN,Wrestling,2,AUT,Weightlifting,2,AUT,Swimming,3,AUT,Modern Pentathlon,1,BEL,Boxing,13,ARG,Tennis,8,ARG,Swimming,8,AUS,Cycling,2,ARG,Swimming,1,ARG,Fencing,28,ARG,Gymnastics,14,ARG,Wrestling,4,ARG,Equestrianism,15,ARG,Equestrianism,15,ARG,Equestrianism,14,ARG,Boxing,5,ARG,Boxing,3,ALG,Weightlifting,3,ANT,Athletics,22,ALG,Handball,14,ALG,Athletics,9,AUS,Figure Skating,3,ALB,Weightlifting,1,AUS,Bobsleigh,6,ALG,Athletics,23,ARM,Figure Skating,3,ALB,Wrestling,1,ARG,Luge,1,ALB,Weightlifting,3,ARM,Cross Country Skiing,2,ALG,Athletics,7,AUS,Biathlon,4,ALG,Football,18
